"Sportsbook","Conference","Team","Odds","Date"
"BetMGM","ACC","Clemson","-135","2022-09-01"
"BetMGM","ACC","Miami","+550","2022-09-01"
"BetMGM","ACC","NC State","+700","2022-09-01"
"BetMGM","ACC","Pittsburgh","+900","2022-09-01"
"BetMGM","ACC","Wake Forest","+3000","2022-09-01"
"BetMGM","ACC","North Carolina","+1500","2022-09-01"
"BetMGM","ACC","Louisville","+2800","2022-09-01"
"BetMGM","ACC","Virginia","+5000","2022-09-01"
"BetMGM","ACC","Florida State","+3000","2022-09-01"
"BetMGM","ACC","Boston College","+3000","2022-09-01"
"BetMGM","ACC","Virginia Tech","+6600","2022-09-01"
"BetMGM","ACC","Georgia Tech","+25000","2022-09-01"
"BetMGM","ACC","Syracuse","+25000","2022-09-01"
"BetMGM","ACC","Duke","+75000","2022-09-01"
"BetMGM","SEC","Georgia","+150","2022-09-01"
"BetMGM","SEC","Alabama","-140","2022-09-01"
"BetMGM","SEC","Texas A&M ","+1600","2022-09-01"
"BetMGM","SEC","Arkansas","+5000","2022-09-01"
"BetMGM","SEC","Tennessee","+4000","2022-09-01"
"BetMGM","SEC","Auburn","+15000","2022-09-01"
"BetMGM","SEC","Kentucky","+5000","2022-09-01"
"BetMGM","SEC","Florida","+5000","2022-09-01"
"BetMGM","SEC","Ole Miss","+5000","2022-09-01"
"BetMGM","SEC","Mississippi State","+12500","2022-09-01"
"BetMGM","SEC","LSU","+5000","2022-09-01"
"BetMGM","SEC","South Carolina","+12500","2022-09-01"
"BetMGM","SEC","Missouri","+40000","2022-09-01"
"BetMGM","SEC","Vanderbilt","+100000","2022-09-01"
"BetMGM","Big 10","Ohio State","-225","2022-09-01"
"BetMGM","Big 10","Michigan","+600","2022-09-01"
"BetMGM","Big 10","Wisconsin","+1200","2022-09-01"
"BetMGM","Big 10","Penn State","+1600","2022-09-01"
"BetMGM","Big 10","Nebraska","+6600","2022-09-01"
"BetMGM","Big 10","Minnesota","+2500","2022-09-01"
"BetMGM","Big 10","Purdue","+3300","2022-09-01"
"BetMGM","Big 10","Michigan State","+2500","2022-09-01"
"BetMGM","Big 10","Iowa","+2000","2022-09-01"
"BetMGM","Big 10","Maryland","+15000","2022-09-01"
"BetMGM","Big 10","Indiana","+25000","2022-09-01"
"BetMGM","Big 10","Illinois","+20000","2022-09-01"
"BetMGM","Big 10","Rutgers","+50000","2022-09-01"
"BetMGM","Big 10","Northwestern","+20000","2022-09-01"
"BetMGM","Big 12","Oklahoma","+200","2022-09-01"
"BetMGM","Big 12","Texas","+275","2022-09-01"
"BetMGM","Big 12","Oklahoma State","+550","2022-09-01"
"BetMGM","Big 12","Baylor","+600","2022-09-01"
"BetMGM","Big 12","TCU","+1200","2022-09-01"
"BetMGM","Big 12","W.Virginia","+2800","2022-09-01"
"BetMGM","Big 12","Iowa St.","+1800","2022-09-01"
"BetMGM","Big 12","Kansas State","+1200","2022-09-01"
"BetMGM","Big 12","Texas Tech","+5000","2022-09-01"
"BetMGM","Big 12","Kansas","+30000","2022-09-01"
"BetMGM","Pac-12","USC","+200","2022-09-01"
"BetMGM","Pac-12","Oregon","+300","2022-09-01"
"BetMGM","Pac-12","Utah","+225","2022-09-01"
"BetMGM","Pac-12","UCLA","+1000","2022-09-01"
"BetMGM","Pac-12","Washington","+1600","2022-09-01"
"BetMGM","Pac-12","Washington State","+5000","2022-09-01"
"BetMGM","Pac-12","Oregon State","+3300","2022-09-01"
"BetMGM","Pac-12","Arizona St.","+3500","2022-09-01"
"BetMGM","Pac-12","California","+6600","2022-09-01"
"BetMGM","Pac-12","Stanford","+8000","2022-09-01"
"BetMGM","Pac-12","Colorado","+25000","2022-09-01"
