season,firstName,lastName,position,origin,destination,transferDate,rating,stars,eligibility
2022,CamRon,Jackson,DL,Memphis,Memphis,2022-01-19T12:42:00.000Z,,3,Immediate
2022,Keelan,Cox,DL,Alabama,,2022-01-28T16:54:00.000Z,,,Immediate
2022,Jared,Ivey,EDGE,Georgia Tech,,2022-01-28T12:58:00.000Z,,4,Immediate
2022,Tray,Pettway,WR,UMass,,2022-01-28T11:05:00.000Z,,3,Immediate
2022,Aidan,Martin,K,Mississippi State,,2022-01-25T09:31:00.000Z,,2,Immediate
2022,Justin,Redd,IOL,Norfolk State,,2022-01-21T18:38:00.000Z,,,Immediate
2022,Dino,Tomlin,WR,Maryland,Boston College,2022-01-11T08:45:00.000Z,,3,Immediate
2022,Cameron,Threatt,CB,Mississippi State,Akron,2021-08-01T00:00:00.000Z,,3,Immediate
2022,Julius,Bolden,RB,Northern Illinois,,2022-01-27T15:34:00.000Z,,3,Immediate
2022,Isaiah,Connelly,RB,Coastal Carolina,,2022-01-27T14:47:00.000Z,,3,Immediate
2022,Elelyon,Noa,RB,Utah State,,2022-01-27T14:26:00.000Z,,3,Immediate
2022,Daniel,Bushland,WR,Texas A&M,,2022-01-27T14:02:00.000Z,,,Immediate
2022,Brian,Parish,OT,UMass,,2022-01-27T13:47:00.000Z,,2,Immediate
2022,Sean,McGonigal,LB,South Carolina,,2022-01-27T13:34:00.000Z,,,Immediate
2022,Ani,Izuchukwu,EDGE,Mississippi State,,2022-01-27T11:27:00.000Z,,4,Immediate
2022,Sammy,Faustin,S,Michigan,,2022-01-27T11:05:00.000Z,,3,Immediate
2022,Dorian,Hardy,DL,East Carolina,,2022-01-27T10:39:00.000Z,,3,Immediate
2022,Chris,Conti,LB,Rutgers,,2022-01-27T10:04:00.000Z,,3,Immediate
2022,Marquis,Robinson,DL,Auburn,,2022-01-27T09:40:00.000Z,0.88,3,Immediate
2022,Matt,Bjorson,TE,Indiana,,2022-01-26T15:18:00.000Z,,3,Immediate
2022,Wynden,Ho'ohuli,LB,Nebraska,Hawai'i,2022-01-21T23:02:00.000Z,,4,Immediate
2022,Ramon,Jefferson,RB,Sam Houston State,,2022-01-14T13:22:00.000Z,,,Immediate
2022,Kody,Sparks,QB,Bowling Green,,2022-01-07T14:06:00.000Z,,2,Immediate
2022,Reginald,Neely,CB,Tulane,,2022-01-26T16:04:00.000Z,,3,Immediate
2022,Chris,Cassidy,OT,North Texas,,2022-01-26T15:24:00.000Z,,3,Immediate
2022,George,Georgopoulos,P,UMass,,2022-01-26T14:14:00.000Z,,2,Immediate
2022,Tyree,O'Neil,WR,Buffalo,,2022-01-26T14:13:00.000Z,,2,Immediate
2022,Jeff,Marks,DL,Purdue,,2022-01-26T14:10:00.000Z,,3,Immediate
2022,Champ,Flemings,WR,Oregon State,,2022-01-26T14:09:00.000Z,,3,Immediate
2022,Alex,Nobles,ATH,North Carolina,,2022-01-26T13:16:00.000Z,,,Immediate
2022,Zachary,Dixon,LB,Georgia State,,2022-01-26T13:07:00.000Z,,2,Immediate
2022,AJ,Mayer,QB,Miami (OH),,2022-01-26T08:07:00.000Z,,3,Immediate
2022,Luke,Lane,IOL,Indiana,,2022-01-25T13:15:00.000Z,,,Immediate
