Team,Conf,Div,Net RP,2021 Off Adjust,2021 Def Adj,RP Offense,Pass Yds,Rec Yds,OL Snaps,Rush Yds,RP Defense,Tackles,Pass Def,Pressure,Stops
Cincinnati,AAC,,-2,3,-5,65%,48.71%,65.23%,91.21%,34.92%,32%,37.90%,25.00%,23.51%,36.29%
East Carolina,AAC,,4,4,0,73%,96.86%,58.56%,56.06%,100.05%,63%,66.98%,47.62%,86.75%,70.49%
South Florida,AAC,,0.5,4.5,-4,74%,100.00%,88.25%,19.19%,94.39%,45%,39.03%,61.29%,38.57%,28.63%
Temple,AAC,,1,4.5,-3.5,76%,100.00%,68.44%,58.39%,66.16%,48%,55.83%,29.17%,52.67%,60.74%
UCF,AAC,,3,4,-1,73%,97.41%,65.32%,47.77%,92.20%,58%,52.89%,69.23%,52.21%,51.92%
Houston,AAC,,4.5,5,-0.5,77%,100.00%,71.23%,55.18%,85.47%,60%,66.00%,48.08%,67.01%,65.71%
Memphis,AAC,,-3,2,-5,60%,99.78%,30.45%,41.74%,78.64%,22%,19.47%,27.08%,15.38%,21.75%
Navy,AAC,,2,2.5,-0.5,63%,97.65%,34.07%,63.76%,34.49%,60%,58.52%,59.26%,60.58%,62.50%
SMU,AAC,,0,3,-3,65%,100.00%,42.34%,51.70%,62.77%,49%,41.67%,70.59%,35.21%,34.20%
Tulane,AAC,,6.5,6,0.5,83%,100.00%,80.87%,59.54%,99.40%,65%,72.15%,47.06%,77.36%,75.71%
Tulsa,AAC,,-12,-7,-5,19%,0.00%,6.33%,49.35%,53.32%,20%,20.93%,20.83%,16.45%,16.82%
Boston College,ACC,A,0.5,0,0.5,53%,45.15%,67.38%,42.53%,68.48%,66%,65.83%,68.75%,58.04%,64.39%
Clemson,ACC,A,6,7,-1,89%,99.39%,74.48%,91.34%,96.99%,58%,59.69%,51.16%,71.04%,61.21%
Florida State,ACC,A,9.5,4.5,5,75%,66.35%,83.50%,77.62%,60.70%,88%,89.02%,98.21%,63.56%,82.70%
Louisville,ACC,A,-1,0,-1,53%,4.32%,92.32%,64.53%,59.59%,58%,52.18%,65.85%,61.54%,56.60%
NC State,ACC,A,9.5,4.5,5,75%,100.00%,63.91%,72.44%,17.29%,93%,92.90%,96.49%,82.01%,90.91%
Syracuse,ACC,A,12,7,5,89%,100.00%,81.84%,82.01%,97.85%,86%,86.11%,100.00%,55.75%,76.57%
Wake Forest,ACC,A,-9.5,-7,-2.5,32%,1.72%,38.66%,60.14%,30.27%,52%,52.27%,50.00%,56.77%,53.27%
Duke,ACC,C,4,5,-1,79%,100.00%,80.92%,62.52%,37.95%,58%,66.13%,32.14%,87.43%,71.60%
Georgia Tech,ACC,C,4,4.5,-0.5,74%,100.00%,65.40%,53.45%,74.09%,62%,61.78%,55.00%,80.69%,66.67%
Miami,ACC,C,7,3,4,66%,79.99%,52.27%,65.16%,68.96%,82%,81.88%,90.00%,62.09%,76.38%
North Carolina,ACC,C,-2.5,-5.5,3,39%,8.07%,66.32%,48.45%,17.18%,78%,79.74%,82.35%,66.85%,74.46%
Pittsburgh,ACC,C,5.5,3.5,2,70%,37.23%,77.74%,98.53%,80.22%,72%,70.15%,74.51%,74.82%,67.67%
Virginia,ACC,C,-3,0,-3,53%,100.02%,34.50%,19.02%,47.97%,50%,55.00%,37.14%,56.41%,60.48%
Virginia Tech,ACC,C,7.5,4.5,3,76%,100.00%,84.91%,40.45%,62.96%,77%,78.33%,70.27%,81.77%,81.33%
