"","game_id","season","week","home_team","away_team","home_points","away_points","matchup","formatted_spread","over_under"
"1",401282714,2021,1,"Illinois","Nebraska",30,22,"Nebraska @ Illinois","Nebraska -6.5","52.5"
"2",401286187,2021,1,"Fresno State","Connecticut",45,0,"Connecticut @ Fresno State","Fresno State -27.5","63.5"
"4",401309833,2021,1,"UCLA","Hawai'i",44,10,"Hawai'i @ UCLA","UCLA -17.5","67"
"7",401282049,2021,1,"New Mexico State","UTEP",3,30,"UTEP @ New Mexico State","UTEP -9.5","59.5"
"8",401310693,2021,1,"San José State","Southern Utah",45,14,"Southern Utah @ San José State","San José State -28","57.5"
"9",401282050,2021,1,"Jacksonville State","UAB",0,31,"UAB @ Jacksonville State","UAB -16.5","52"
"14",401300995,2021,1,"UCF","Boise State",36,31,"Boise State @ UCF","UCF -6.5","67"
"30",401309540,2021,1,"Ball State","Western Illinois",31,21,"Western Illinois @ Ball State","Ball State -31","58.5"
"38",401328545,2021,1,"Coastal Carolina","The Citadel",52,14,"The Citadel @ Coastal Carolina","Coastal Carolina -33.5","54.5"
"39",401309542,2021,1,"Buffalo","Wagner",69,7,"Wagner @ Buffalo","Buffalo -43.5","54.5"
"46",401282607,2021,1,"NC State","South Florida",45,0,"South Florida @ NC State","NC State -19","58"
"48",401300994,2021,1,"Tulsa","UC Davis",17,19,"UC Davis @ Tulsa","Tulsa -22","54.5"
"49",401300993,2021,1,"Appalachian State","East Carolina",33,19,"East Carolina @ Appalachian State","Appalachian State -9","55.5"
"50",401309834,2021,1,"Utah","Weber State",40,17,"Weber State @ Utah","Utah -29.5","48.5"
"52",401281952,2021,1,"Tennessee","Bowling Green",38,6,"Bowling Green @ Tennessee","Tennessee -37","60.5"
"55",401310696,2021,1,"New Mexico","Houston Baptist",27,17,"Houston Baptist @ New Mexico","New Mexico -25.5","66"
"56",401282789,2021,1,"Minnesota","Ohio State",31,45,"Ohio State @ Minnesota","Ohio State -14","62"
"72",401310694,2021,1,"UNLV","Eastern Washington",33,35,"Eastern Washington @ UNLV","Eastern Washington -2","66"
"73",401309835,2021,1,"Arizona State","Southern Utah",41,14,"Southern Utah @ Arizona State","Arizona State -44.5","56.5"
"75",401309937,2021,1,"Virginia Tech","North Carolina",17,10,"North Carolina @ Virginia Tech","North Carolina -5.5","63.5"
"77",401282608,2021,1,"Wake Forest","Old Dominion",42,10,"Old Dominion @ Wake Forest","Wake Forest -32.5","61.5"
"78",401282052,2021,1,"Charlotte","Duke",31,28,"Duke @ Charlotte","Duke -6.5","60.5"
"79",401309541,2021,1,"Eastern Michigan","St Francis (PA)",35,15,"St Francis (PA) @ Eastern Michigan","Eastern Michigan -34","54.5"
"80",401287888,2021,1,"Kansas","South Dakota",17,14,"South Dakota @ Kansas","Kansas -11.5","55.5"
"81",401309836,2021,1,"Colorado","Northern Colorado",35,7,"Northern Colorado @ Colorado","Colorado -37.5","56.5"
"82",401310695,2021,1,"Colorado State","South Dakota State",23,42,"South Dakota State @ Colorado State","Colorado State -2.5","50.5"
"83",401282782,2021,1,"Northwestern","Michigan State",21,38,"Michigan State @ Northwestern","Northwestern -3","45.5"
"85",401286188,2021,1,"Connecticut","Holy Cross",28,38,"Holy Cross @ Connecticut","Connecticut -3","49.5"
"86",401287894,2021,1,"Oklahoma","Tulane",40,35,"Tulane @ Oklahoma","Oklahoma -31","66.5"
"87",401281947,2021,1,"Kentucky","Louisiana Monroe",45,10,"Louisiana Monroe @ Kentucky","Kentucky -31","54"
"88",401309601,2021,1,"Georgia State","Army",10,43,"Army @ Georgia State","Georgia State -2.5","50"
"89",401287889,2021,1,"Kansas State","Stanford",24,7,"Stanford @ Kansas State","Kansas State -3","54"
"90",401282815,2021,1,"Wisconsin","Penn State",10,16,"Penn State @ Wisconsin","Wisconsin -5.5","49"
"91",401282822,2021,1,"Rutgers","Temple",61,14,"Temple @ Rutgers","Rutgers -14","52"
"92",401282772,2021,1,"Michigan","Western Michigan",47,14,"Western Michigan @ Michigan","Michigan -16.5","65.5"
"93",401282609,2021,1,"Boston College","Colgate",51,0,"Colgate @ Boston College","Boston College -42.5","56.5"
"94",401327913,2021,1,"Nebraska","Fordham",52,7,"Fordham @ Nebraska","Nebraska -42","55"
"110",401310861,2021,1,"Air Force","Lafayette",35,14,"Lafayette @ Air Force","Air Force -40.5","49.5"
"111",401309838,2021,1,"Oregon","Fresno State",31,24,"Fresno State @ Oregon","Oregon -19.5","63"
"114",401281943,2021,1,"Arkansas","Rice",38,17,"Rice @ Arkansas","Arkansas -19.5","50"
"125",401281942,2021,1,"Miami","Alabama",13,44,"Alabama @ Miami","Alabama -19.5","61.5"
"126",401282174,2021,1,"Navy","Marshall",7,49,"Marshall @ Navy","Marshall -3","46.5"
"127",401282764,2021,1,"Maryland","West Virginia",30,24,"West Virginia @ Maryland","West Virginia -2.5","57"
"129",401282723,2021,1,"Iowa","Indiana",34,6,"Indiana @ Iowa","Iowa -3.5","45.5"
"130",401300996,2021,1,"Cincinnati","Miami (OH)",49,14,"Miami (OH) @ Cincinnati","Cincinnati -22.5","49"
"135",401281949,2021,1,"Mississippi State","Louisiana Tech",35,34,"Louisiana Tech @ Mississippi State","Mississippi State -20.5","53"
"136",401281950,2021,1,"Missouri","Central Michigan",34,24,"Central Michigan @ Missouri","Missouri -14","59"
"137",401282612,2021,1,"Pittsburgh","UMass",51,7,"UMass @ Pittsburgh","Pittsburgh -37.5","56"
"138",401310697,2021,1,"Wyoming","Montana State",19,16,"Montana State @ Wyoming","Wyoming -19","45"
"141",401287887,2021,1,"Iowa State","Northern Iowa",16,10,"Northern Iowa @ Iowa State","Iowa State -28.5","50"
"142",401287892,2021,1,"Texas","Louisiana",38,18,"Louisiana @ Texas","Texas -8.5","58"
"143",401309842,2021,1,"USC","San José State",30,7,"San José State @ USC","USC -14","61"
"153",401286294,2021,1,"Liberty","Campbell",48,7,"Campbell @ Liberty","Liberty -35","65"
"161",401309543,2021,1,"Toledo","Norfolk State",49,10,"Norfolk State @ Toledo","Toledo -39.5","56"
"163",401309602,2021,1,"Troy","Southern",55,3,"Southern @ Troy","Troy -25","55"
"168",401281951,2021,1,"South Carolina","Eastern Illinois",46,0,"Eastern Illinois @ South Carolina","South Carolina -31.5","55.5"
"171",401282173,2021,1,"Middle Tennessee","Monmouth",50,15,"Monmouth @ Middle Tennessee","Middle Tennessee -8.5","58.5"
"172",401287886,2021,1,"Houston","Texas Tech",21,38,"Texas Tech @ Houston","Houston -2.5","63"
"173",401282819,2021,1,"Purdue","Oregon State",30,21,"Oregon State @ Purdue","Purdue -7","68"
"174",401282611,2021,1,"Ohio","Syracuse",9,29,"Syracuse @ Ohio","Ohio -2","55.5"
"178",401300998,2021,1,"SMU","Abilene Christian",56,9,"Abilene Christian @ SMU","SMU -32","66"
"180",401309598,2021,1,"Arkansas State","Central Arkansas",40,21,"Central Arkansas @ Arkansas State","Arkansas State -13.5","64"
"181",401287893,2021,1,"Texas State","Baylor",20,29,"Baylor @ Texas State","Baylor -13.5","52.5"
"182",401300997,2021,1,"Memphis","Nicholls",42,17,"Nicholls @ Memphis","Memphis -22.5","68"
"184",401281944,2021,1,"Auburn","Akron",60,10,"Akron @ Auburn","Auburn -37","56"
"185",401282610,2021,1,"Georgia Tech","Northern Illinois",21,22,"Northern Illinois @ Georgia Tech","Georgia Tech -19","57"
"186",401282613,2021,1,"Virginia","William & Mary",43,0,"William & Mary @ Virginia","Virginia -30.5","52.5"
"187",401281946,2021,1,"Clemson","Georgia",3,10,"Georgia @ Clemson","Clemson -2.5","51.5"
"189",401282179,2021,1,"Illinois","UT San Antonio",30,37,"UT San Antonio @ Illinois","Illinois -4.5","52"
"190",401281945,2021,1,"Florida","Florida Atlantic",35,14,"Florida Atlantic @ Florida","Florida -23.5","52"
"191",401282175,2021,1,"North Texas","Northwestern State",44,14,"Northwestern State @ North Texas","North Texas -20","66"
"193",401282053,2021,1,"Texas A&M","Kent State",41,10,"Kent State @ Texas A&M","Texas A&M -29.5","66"
"194",401282177,2021,1,"South Alabama","Southern Mississippi",31,7,"Southern Mississippi @ South Alabama","South Alabama -2","56.5"
"195",401287891,2021,1,"TCU","Duquesne",45,3,"Duquesne @ TCU","TCU -42","54.5"
"196",401309839,2021,1,"Washington","Montana",7,13,"Montana @ Washington","Washington -22.5","54"
"197",401282054,2021,1,"Vanderbilt","East Tennessee State",3,23,"East Tennessee State @ Vanderbilt","Vanderbilt -21","45"
"198",401281948,2021,1,"UCLA","LSU",38,27,"LSU @ UCLA","LSU -2","63.5"
"201",401310699,2021,1,"San Diego State","New Mexico State",28,10,"New Mexico State @ San Diego State","San Diego State -31","50.5"
"202",401309841,2021,1,"Arizona","BYU",16,24,"BYU @ Arizona","BYU -13.5","54"
"203",401309837,2021,1,"California","Nevada",17,22,"Nevada @ California","California -3","52.5"
"204",401309840,2021,1,"Washington State","Utah State",23,26,"Utah State @ Washington State","Washington State -17","66.5"
"209",401282614,2021,1,"Florida State","Notre Dame",38,41,"Notre Dame @ Florida State","Notre Dame -7.5","54"
"210",401282055,2021,1,"Ole Miss","Louisville",43,24,"Louisville @ Ole Miss","Ole Miss -9","74.5"
"219",401287896,2021,2,"Coastal Carolina","Kansas",49,22,"Kansas @ Coastal Carolina","Coastal Carolina -27","52"
"220",401282616,2021,2,"Duke","North Carolina A&T",45,17,"North Carolina A&T @ Duke","Duke -22.5","55.5"
"221",401282191,2021,2,"Boise State","UTEP",54,13,"UTEP @ Boise State","Boise State -25","56.5"
"222",401310701,2021,2,"Utah State","North Dakota",48,24,"North Dakota @ Utah State","Utah State -6.5","53.5"
"223",401282624,2021,2,"Virginia","Illinois",42,14,"Illinois @ Virginia","Virginia -10.5","56.5"
"224",401282193,2021,2,"Army","Western Kentucky",38,35,"Western Kentucky @ Army","Army -6","52"
"225",401309545,2021,2,"Kent State","VMI",60,10,"VMI @ Kent State","Kent State -20","72.5"
"226",401282066,2021,2,"Tennessee","Pittsburgh",34,41,"Pittsburgh @ Tennessee","Pittsburgh -3.5","56"
"230",401282804,2021,2,"Northwestern","Indiana State",24,6,"Indiana State @ Northwestern","Northwestern -28.5","46"
"231",401282809,2021,2,"Ohio State","Oregon",28,35,"Oregon @ Ohio State","Ohio State -15","65"
"232",401282065,2021,2,"East Carolina","South Carolina",17,20,"South Carolina @ East Carolina","South Carolina -2.5","56.5"
"233",401287899,2021,2,"Oklahoma State","Tulsa",28,23,"Tulsa @ Oklahoma State","Oklahoma State -12","51"
"235",401282625,2021,2,"Wake Forest","Norfolk State",41,16,"Norfolk State @ Wake Forest","Wake Forest -43","58"
"236",401282058,2021,2,"Auburn","Alabama State",62,0,"Alabama State @ Auburn","Auburn -49.5","60"
"237",401282783,2021,2,"Michigan State","Youngstown State",42,14,"Youngstown State @ Michigan State","Michigan State -28.5","52"
"238",401282790,2021,2,"Minnesota","Miami (OH)",31,26,"Miami (OH) @ Minnesota","Minnesota -19","55"
"241",401301000,2021,2,"Tulane","Morgan State",69,20,"Morgan State @ Tulane","Tulane -47.5","58"
"253",401282059,2021,2,"South Florida","Florida",20,42,"Florida @ South Florida","Florida -28.5","57.5"
"260",401309547,2021,2,"Northern Illinois","Wyoming",43,50,"Wyoming @ Northern Illinois","Wyoming -7","44.5"
"268",401282186,2021,2,"Virginia Tech","Middle Tennessee",35,14,"Middle Tennessee @ Virginia Tech","Virginia Tech -20","54.5"
"269",401282622,2021,2,"Syracuse","Rutgers",7,17,"Rutgers @ Syracuse","Rutgers -2.5","51"
"274",401309753,2021,2,"Ohio","Duquesne",26,28,"Duquesne @ Ohio","Ohio -28.5","49"
"278",401282705,2021,2,"Notre Dame","Toledo",32,29,"Toledo @ Notre Dame","Notre Dame -16.5","55.5"
"280",401282820,2021,2,"Connecticut","Purdue",0,49,"Purdue @ Connecticut","Purdue -35","57.5"
"287",401309548,2021,2,"Central Michigan","Robert Morris",45,0,"Robert Morris @ Central Michigan","Central Michigan -37.5","53.5"
"288",401301002,2021,2,"Cincinnati","Murray State",42,7,"Murray State @ Cincinnati","Cincinnati -36.5","51.5"
"289",401282060,2021,2,"Georgia","UAB",56,7,"UAB @ Georgia","Georgia -22.5","44"
"290",401301004,2021,2,"Navy","Air Force",3,23,"Air Force @ Navy","Air Force -6","39.5"
"292",401287900,2021,2,"TCU","California",34,32,"California @ TCU","TCU -11.5","46.5"
"293",401282067,2021,2,"Colorado","Texas A&M",7,10,"Texas A&M @ Colorado","Texas A&M -17","50"
"294",401282623,2021,2,"UMass","Boston College",28,45,"Boston College @ UMass","Boston College -39","57"
"295",401300999,2021,2,"Akron","Temple",24,45,"Temple @ Akron","Temple -6.5","51.5"
"296",401282183,2021,2,"Florida Atlantic","Georgia Southern",38,6,"Georgia Southern @ Florida Atlantic","Florida Atlantic -7","48.5"
"297",401282797,2021,2,"Nebraska","Buffalo",28,3,"Buffalo @ Nebraska","Nebraska -13.5","54.5"
"298",401282816,2021,2,"Penn State","Ball State",44,13,"Ball State @ Penn State","Penn State -22.5","58"
"303",401309546,2021,2,"Bowling Green","South Alabama",19,22,"South Alabama @ Bowling Green","South Alabama -14.5","48"
"307",401282754,2021,2,"Iowa State","Iowa",17,27,"Iowa @ Iowa State","Iowa State -4","45"
"309",401309544,2021,2,"Western Michigan","Illinois State",28,0,"Illinois State @ Western Michigan","Western Michigan -12.5","56.5"
"311",401282615,2021,2,"Clemson","South Carolina State",49,3,"South Carolina State @ Clemson","Clemson -50.5","56"
"312",401282192,2021,2,"UT San Antonio","Lamar",54,0,"Lamar @ UT San Antonio","UT San Antonio -38","65"
"314",401309845,2021,2,"Washington State","Portland State",44,24,"Portland State @ Washington State","Washington State -31","65.5"
"333",401282185,2021,2,"Marshall","North Carolina Central",44,10,"North Carolina Central @ Marshall","Marshall -42.5","53.5"
"335",401282189,2021,2,"Rice","Houston",7,44,"Houston @ Rice","Houston -7.5","50.5"
"336",401282187,2021,2,"SMU","North Texas",35,12,"North Texas @ SMU","SMU -22.5","73.5"
"337",401282057,2021,2,"Arkansas","Texas",40,21,"Texas @ Arkansas","Texas -6","57.5"
"338",401310700,2021,2,"New Mexico","New Mexico State",34,25,"New Mexico State @ New Mexico","New Mexico -19.5","55.5"
"339",401282620,2021,2,"Miami","Appalachian State",25,23,"Appalachian State @ Miami","Miami -7.5","54.5"
"341",401286295,2021,2,"Troy","Liberty",13,21,"Liberty @ Troy","Liberty -3","62.5"
"344",401301003,2021,2,"Arkansas State","Memphis",50,55,"Memphis @ Arkansas State","Memphis -5.5","64.5"
"372",401282064,2021,2,"Mississippi State","NC State",24,10,"NC State @ Mississippi State","NC State -1.5","55.5"
"373",401282825,2021,2,"Wisconsin","Eastern Michigan",34,7,"Eastern Michigan @ Wisconsin","Wisconsin -26","52"
"374",401282182,2021,2,"Florida International","Texas State",17,23,"Texas State @ Florida International","Florida International -2","55.5"
"375",401287901,2021,2,"Texas Tech","Stephen F. Austin",28,22,"Stephen F. Austin @ Texas Tech","Texas Tech -31.5","51.5"
"376",401287895,2021,2,"Baylor","Texas Southern",66,7,"Texas Southern @ Baylor","Baylor -44.5","53"
"377",401287897,2021,2,"Kansas State","Southern Illinois",31,23,"Southern Illinois @ Kansas State","Kansas State -17","55"
"378",401282188,2021,2,"Old Dominion","Hampton",47,7,"Hampton @ Old Dominion","Old Dominion -21.5","55"
"379",401282619,2021,2,"Louisville","Eastern Kentucky",30,3,"Eastern Kentucky @ Louisville","Louisville -30","62.5"
"381",401282190,2021,2,"Southern Mississippi","Grambling",37,0,"Grambling @ Southern Mississippi","Southern Mississippi -23","47.5"
"382",401287898,2021,2,"Oklahoma","Western Carolina",76,0,"Western Carolina @ Oklahoma","Oklahoma -52.5","66"
"383",401282184,2021,2,"Louisiana Tech","Southeastern Louisiana",45,42,"Southeastern Louisiana @ Louisiana Tech","Louisiana Tech -11.5","70.5"
"384",401286207,2021,2,"Maryland","Howard",62,0,"Howard @ Maryland","Maryland -48.5","56"
"386",401282063,2021,2,"Ole Miss","Austin Peay",54,17,"Austin Peay @ Ole Miss","Ole Miss -37","69.5"
"388",401282621,2021,2,"North Carolina","Georgia State",59,17,"Georgia State @ North Carolina","North Carolina -26","65.5"
"389",401282061,2021,2,"Kentucky","Missouri",35,28,"Missouri @ Kentucky","Kentucky -5.5","56.5"
"391",401282773,2021,2,"Michigan","Washington",31,10,"Washington @ Michigan","Michigan -6.5","47.5"
"397",401282617,2021,2,"Florida State","Jacksonville State",17,20,"Jacksonville State @ Florida State","Florida State -27.5","56.5"
"398",401282062,2021,2,"LSU","McNeese",34,7,"McNeese @ LSU","LSU -39","66"
"402",401282068,2021,2,"Colorado State","Vanderbilt",21,24,"Vanderbilt @ Colorado State","Colorado State -6.5","52"
"404",401309846,2021,2,"Arizona","San Diego State",14,38,"San Diego State @ Arizona","Arizona -1.5","46.5"
"405",401310702,2021,2,"Fresno State","Cal Poly",63,10,"Cal Poly @ Fresno State","Fresno State -32.5","59.5"
"406",401309848,2021,2,"BYU","Utah",26,17,"Utah @ BYU","Utah -7","50.5"
"407",401309843,2021,2,"USC","Stanford",28,42,"Stanford @ USC","USC -17.5","53.5"
"408",401309847,2021,2,"Arizona State","UNLV",37,10,"UNLV @ Arizona State","Arizona State -34.5","56"
"409",401310703,2021,2,"Nevada","Idaho State",49,10,"Idaho State @ Nevada","Nevada -35","56.5"
"410",401309844,2021,2,"Oregon State","Hawai'i",45,27,"Hawai'i @ Oregon State","Oregon State -11","65"
"415",401282626,2021,3,"Louisville","UCF",42,35,"UCF @ Louisville","UCF -7","67.5"
"416",401282715,2021,3,"Illinois","Maryland",17,20,"Maryland @ Illinois","Maryland -7","61.5"
"417",401286189,2021,3,"Army","Connecticut",52,21,"Connecticut @ Army","Army -34.5","48"
