"","game_id","season","week","home_team","away_team","home_points","away_points","matchup","formatted_spread","over_under"
"1",401426532,2022,1,"Western Kentucky","Austin Peay",38,27,"Austin Peay @ Western Kentucky","Western Kentucky -32.5","73.0"
"2",401405059,2022,1,"Northwestern","Nebraska",31,28,"Nebraska @ Northwestern","Nebraska -13","52.0"
"3",401439512,2022,1,"Florida Memorial University","Edward Waters",39,34,"Edward Waters @ Florida Memorial University",NA,NA
"4",401413213,2022,1,"Jacksonville State","Stephen F. Austin",42,17,"Stephen F. Austin @ Jacksonville State","Stephen F. Austin -8.0","55.0"
"5",401413256,2022,1,"UNLV","Idaho State",52,21,"Idaho State @ UNLV","UNLV -22.5","51"
"6",401405058,2022,1,"Illinois","Wyoming",38,6,"Wyoming @ Illinois","Illinois -14.0","43.0"
"7",401404146,2022,1,"Utah State","Connecticut",31,20,"Connecticut @ Utah State","Utah State -23.0","59.0"
"8",401411090,2022,1,"Florida State","Duquesne",47,7,"Duquesne @ Florida State","Florida State -41.5","57.0"
"9",401426530,2022,1,"Florida Atlantic","Charlotte",43,13,"Charlotte @ Florida Atlantic","Florida Atlantic -7.0","60.0"
"10",401422922,2022,1,"Mercer","Morehead State",63,13,"Morehead State @ Mercer","Mercer -27.5","58.0"
"11",401423448,2022,1,"Alabama State","Howard",23,13,"Howard @ Alabama State","Alabama State -1","53.5"
"12",401411091,2022,1,"North Carolina","Florida A&M",56,24,"Florida A&M @ North Carolina","North Carolina -45","56.5"
"13",401426531,2022,1,"UTEP","North Texas",13,31,"North Texas @ UTEP","North Texas -1.5","54.0"
"14",401409235,2022,1,"New Mexico State","Nevada",12,23,"Nevada @ New Mexico State","Nevada -7.5","48.0"
"15",401403853,2022,1,"Hawai'i","Vanderbilt",10,63,"Vanderbilt @ Hawai'i","Vanderbilt -9.5","54.5"
"16",401437007,2022,1,"New Mexico Highlands","Eastern New Mexico",18,34,"Eastern New Mexico @ New Mexico Highlands",NA,NA
"17",401433043,2022,1,"Southern Connecticut State","Shepherd",7,48,"Shepherd @ Southern Connecticut State",NA,NA
"18",401428480,2022,1,"Wagner","Fordham",31,48,"Fordham @ Wagner","Fordham -27.5","64.0"
"19",401431561,2022,1,"Saginaw Valley","WV Wesleyan",72,0,"WV Wesleyan @ Saginaw Valley",NA,NA
