"","gameID","Team","Week","HomeAway","DKSpread","FDSpread","MGMSpread","CZRSpread","DKML","FDML","MGMML","CZRML","DKTotal","FDTotal","MGMTotal","CZRTotal"
"37",401403854,"Utah State",1,0,"38.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"62 (O: -110 U: -110)",NA,NA,NA
"158",401403854,"Alabama",1,1,"-38.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"62 (O: -110 U: -110)",NA,NA,NA
"25",401403855,"Cincinnati",1,0,"7 (-110)",NA,NA,NA,NA,NA,NA,NA,"54 (O: -110 U: -110)",NA,NA,NA
"146",401403855,"Arkansas",1,1,"-7 (-110)",NA,NA,NA,NA,NA,NA,NA,"54 (O: -110 U: -110)",NA,NA,NA
"32",401403857,"Utah",1,0,"-2 (-110)","-2 (-110)",NA,NA,NA,NA,NA,NA,"52.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"153",401403857,"Florida",1,1,"2 (-110)","2 (-110)",NA,NA,NA,NA,NA,NA,"52.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"120",401403858,"Georgia",1,0,"-17 (-110)","-17 (-105)",NA,NA,NA,NA,NA,NA,"51 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"241",401403858,"Oregon",1,1,"17 (-110)","17 (-115)",NA,NA,NA,NA,NA,NA,"51 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"26",401403860,"Troy",1,0,"23.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"61 (O: -110 U: -110)",NA,NA,NA
"147",401403860,"Ole Miss",1,1,"-23.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"61 (O: -110 U: -110)",NA,NA,NA
"34",401403861,"Memphis",1,0,"16 (-110)",NA,NA,NA,NA,NA,NA,NA,"57 (O: -110 U: -110)",NA,NA,NA
"155",401403861,"Mississippi State",1,1,"-16 (-110)",NA,NA,NA,NA,NA,NA,NA,"57 (O: -110 U: -110)",NA,NA,NA
"36",401403863,"Georgia State",1,0,"13 (-110)",NA,NA,NA,NA,NA,NA,NA,"56 (O: -110 U: -110)",NA,NA,NA
"157",401403863,"South Carolina",1,1,"-13 (-110)",NA,NA,NA,NA,NA,NA,NA,"56 (O: -110 U: -110)",NA,NA,NA
"8",401403864,"Ball State",1,0,"32.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"68 (O: -110 U: -110)",NA,NA,NA
"129",401403864,"Tennessee",1,1,"-32.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"68 (O: -110 U: -110)",NA,NA,NA
"121",401403867,"LSU",1,0,"-3 (-105)","-3.5 (-105)",NA,NA,NA,NA,NA,NA,"51.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"242",401403867,"Florida State",1,1,"3 (-115)","3.5 (-115)",NA,NA,NA,NA,NA,NA,"51.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"16",401403966,"TCU",1,0,"-7.5 (-110)","-9 (-110)",NA,NA,NA,NA,NA,NA,"54.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"137",401403966,"Colorado",1,1,"7.5 (-110)","9 (-110)",NA,NA,NA,NA,NA,NA,"54.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"24",401403967,"Arizona",1,0,"5.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"49 (O: -110 U: -110)",NA,NA,NA
"145",401403967,"San Diego State",1,1,"-5.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"49 (O: -110 U: -110)",NA,NA,NA
"40",401403969,"Boise State",1,0,"4 (-110)",NA,NA,NA,NA,NA,NA,NA,"59.5 (O: -110 U: -110)",NA,NA,NA
"161",401403969,"Oregon State",1,1,"-4 (-110)",NA,NA,NA,NA,NA,NA,NA,"59.5 (O: -110 U: -110)",NA,NA,NA
"20",401403971,"Bowling Green",1,0,"26 (-110)",NA,NA,NA,NA,NA,NA,NA,"57.5 (O: -110 U: -110)",NA,NA,NA
"141",401403971,"UCLA",1,1,"-26 (-110)",NA,NA,NA,NA,NA,NA,NA,"57.5 (O: -110 U: -110)",NA,NA,NA
"39",401403973,"Kent State",1,0,"22.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"60.5 (O: -110 U: -110)",NA,NA,NA
"160",401403973,"Washington",1,1,"-22.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"60.5 (O: -110 U: -110)",NA,NA,NA
"33",401404124,"Notre Dame",1,0,"14.5 (-110)","14 (-105)",NA,NA,NA,NA,NA,NA,"58 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"154",401404124,"Ohio State",1,1,"-14.5 (-110)","-14 (-115)",NA,NA,NA,NA,NA,NA,"58 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"31",401404157,"Liberty",1,0,"-3 (-110)",NA,NA,NA,NA,NA,NA,NA,"53.5 (O: -110 U: -110)",NA,NA,NA
"152",401404157,"Southern Mississippi",1,1,"3 (-110)",NA,NA,NA,NA,NA,NA,NA,"53.5 (O: -110 U: -110)",NA,NA,NA
"4",401405058,"Wyoming",1,0,"10 (-110)",NA,NA,NA,NA,NA,NA,NA,"46.5 (O: -110 U: -110)",NA,NA,NA
"125",401405058,"Illinois",1,1,"-10 (-110)",NA,NA,NA,NA,NA,NA,NA,"46.5 (O: -110 U: -110)",NA,NA,NA
"2",401405059,"Northwestern",1,0,"12.5 (-110)","11.5 (-110)",NA,NA,NA,NA,NA,NA,"51 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"123",401405059,"Nebraska",1,1,"-12.5 (-110)","-11.5 (-110)",NA,NA,NA,NA,NA,NA,"51 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"11",401405060,"New Mexico State",1,0,"38.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"57 (O: -110 U: -110)",NA,NA,NA
"132",401405060,"Minnesota",1,1,"-38.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"57 (O: -110 U: -110)",NA,NA,NA
"15",401405061,"Illinois",1,0,"5.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"48.5 (O: -110 U: -110)",NA,NA,NA
"136",401405061,"Indiana",1,1,"-5.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"48.5 (O: -110 U: -110)",NA,NA,NA
"9",401405064,"Penn State",1,0,"-3 (-120)","-3 (-110)",NA,NA,NA,NA,NA,NA,"54.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"130",401405064,"Purdue",1,1,"3 (100)","3 (-110)",NA,NA,NA,NA,NA,NA,"54.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"19",401405066,"Buffalo",1,0,"21.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"64 (O: -110 U: -110)",NA,NA,NA
"140",401405066,"Maryland",1,1,"-21.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"64 (O: -110 U: -110)",NA,NA,NA
"18",401405067,"Colorado State",1,0,"28 (-110)",NA,NA,NA,NA,NA,NA,NA,"57.5 (O: -110 U: -110)",NA,NA,NA
"139",401405067,"Michigan",1,1,"-28 (-110)",NA,NA,NA,NA,NA,NA,NA,"57.5 (O: -110 U: -110)",NA,NA,NA
"3",401409235,"Nevada",1,0,"-12.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"55.5 (O: -110 U: -110)",NA,NA,NA
"124",401409235,"New Mexico State",1,1,"12.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"55.5 (O: -110 U: -110)",NA,NA,NA
"7",401411092,"West Virginia",1,0,"7 (-120)","6.5 (-110)",NA,NA,NA,NA,NA,NA,"54.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"128",401411092,"Pittsburgh",1,1,"-7 (100)","-6.5 (-110)",NA,NA,NA,NA,NA,NA,"54.5 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"14",401411094,"Temple",1,0,"8 (-110)",NA,NA,NA,NA,NA,NA,NA,"53.5 (O: -110 U: -110)",NA,NA,NA
"135",401411094,"Duke",1,1,"-8 (-110)",NA,NA,NA,NA,NA,NA,NA,"53.5 (O: -110 U: -110)",NA,NA,NA
"17",401411095,"North Carolina",1,0,"-3 (-105)",NA,NA,NA,NA,NA,NA,NA,"57 (O: -110 U: -110)",NA,NA,NA
"138",401411095,"Appalachian State",1,1,"3 (-115)",NA,NA,NA,NA,NA,NA,NA,"57 (O: -110 U: -110)",NA,NA,NA
"38",401411099,"Louisville",1,0,"-3 (-110)",NA,NA,NA,NA,NA,NA,NA,"59.5 (O: -110 U: -110)",NA,NA,NA
"159",401411099,"Syracuse",1,1,"3 (-110)",NA,NA,NA,NA,NA,NA,NA,"59.5 (O: -110 U: -110)",NA,NA,NA
"41",401411101,"Clemson",1,0,"-19.5 (-110)","-20.5 (-115)",NA,NA,NA,NA,NA,NA,"50 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"162",401411101,"Georgia Tech",1,1,"19.5 (-110)","20.5 (-105)",NA,NA,NA,NA,NA,NA,"50 (O: -110 U: -110)","NA (O: NA U: NA)",NA,NA
"23",401415211,"Tulsa",1,0,"-1 (-110)",NA,NA,NA,NA,NA,NA,NA,"46.5 (O: -110 U: -110)",NA,NA,NA
"144",401415211,"Wyoming",1,1,"1 (-110)",NA,NA,NA,NA,NA,NA,NA,"46.5 (O: -110 U: -110)",NA,NA,NA
"21",401415212,"Texas State",1,0,"8.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"56.5 (O: -110 U: -110)",NA,NA,NA
"142",401415212,"Nevada",1,1,"-8.5 (-110)",NA,NA,NA,NA,NA,NA,NA,"56.5 (O: -110 U: -110)",NA,NA,NA
"27",401415612,"BYU",1,0,"-12 (-110)",NA,NA,NA,NA,NA,NA,NA,"57.5 (O: -110 U: -110)",NA,NA,NA
"148",401415612,"South Florida",1,1,"12 (-110)",NA,NA,NA,NA,NA,NA,NA,"57.5 (O: -110 U: -110)",NA,NA,NA
"6",401416569,"Central Michigan",1,0,"21 (-110)",NA,NA,NA,NA,NA,NA,NA,"58 (O: -110 U: -110)",NA,NA,NA
"127",401416569,"Oklahoma State",1,1,"-21 (-110)",NA,NA,NA,NA,NA,NA,NA,"58 (O: -110 U: -110)",NA,NA,NA
