"","gameID","Team","Week","HomeAway","DKSpread","FDSpread","MGMSpread","CZRSpread","DKML","FDML","MGMML","CZRML","DKTotal","FDTotal","MGMTotal","CZRTotal"
"49",401403909,"Texas A&M",6,0,"24 (-110)","23.5 (-105)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"106",401403909,"Alabama",6,1,"-24 (-110)","-23.5 (-115)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"10",401403910,"Missouri",6,0,"10 (-110)","10.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"67",401403910,"Florida",6,1,"-10 (-110)","-10.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"31",401403911,"Auburn",6,0,"28 (-110)","27.5 (-105)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"88",401403911,"Georgia",6,1,"-28 (-110)","-27.5 (-115)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"46",401403912,"South Carolina",6,0,"10.5 (-110)","11.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"103",401403912,"Kentucky",6,1,"-10.5 (-110)","-11.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"5",401403913,"Tennessee",6,0,"-3.5 (-110)","-3.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"62",401403913,"LSU",6,1,"3.5 (-110)","3.5 (-110)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
"4",401403914,"Arkansas",6,0,"5 (-110)","4.5 (-105)",NA,NA,NA,NA,NA,NA,"NA (O: NA U: NA)","NA (O: NA U: NA)",NA,NA
