"Book","Player","Odds","DateScraped"
"Draftkings","CJ Stroud","+250","2022-06-25"
"Draftkings","Bryce Young","+350","2022-06-25"
"Draftkings","Caleb Williams","+900","2022-06-25"
"Draftkings","Bijan Robinson","+2000","2022-06-25"
"Draftkings","Will Anderson Jr.","+2800","2022-06-25"
"Draftkings","Dillon Gabriel","+3000","2022-06-25"
"Draftkings","Jaxon Smith-Njigba","+3000","2022-06-25"
"Draftkings","Tyler Van Dyke","+3500","2022-06-25"
"Draftkings","DJ Uiagalelei","+3500","2022-06-25"
"Draftkings","Kedon Slovis","+4000","2022-06-25"
"Draftkings","TreVeyon Henderson","+4000","2022-06-25"
"Draftkings","Spencer Rattler","+4000","2022-06-25"
"Draftkings","Jaxson Dart","+4000","2022-06-25"
"Draftkings","Anthony Richardson","+4000","2022-06-25"
"Draftkings","Quinn Ewers","+4500","2022-06-25"
"Draftkings","Hendon Hooker","+4500","2022-06-25"
"Draftkings","Malik Cunningham","+5000","2022-06-25"
"Draftkings","Bo Nix","+5000","2022-06-25"
"Draftkings","Sam Hartman","+5000","2022-06-25"
"Draftkings","Cade Klubnik","+6000","2022-06-25"
"Draftkings","Will Rogers","+6000","2022-06-25"
"Draftkings","KJ Jefferson","+6000","2022-06-25"
"Draftkings","Jack Miller III","+6000","2022-06-25"
"Draftkings","Will Levis","+6000","2022-06-25"
"Draftkings","Braelon Allen","+6000","2022-06-25"
"Draftkings","Jahmyr Gibbs","+6000","2022-06-25"
"Draftkings","Jayden Daniels","+7000","2022-06-25"
"Draftkings","Tank Bigsby","+7000","2022-06-25"
"Draftkings","JT Daniels","+7000","2022-06-25"
"Draftkings","Jordan Addison","+7000","2022-06-25"
"Draftkings","Dorian Thompson-Robinson","+8000","2022-06-25"
"Draftkings","Jase McClellan","+8000","2022-06-25"
"Draftkings","Sean Clifford","+8000","2022-06-25"
"Draftkings","Travis Dye","+8000","2022-06-25"
"Draftkings","Spencer Sanders","+8000","2022-06-25"
"Draftkings","Phil Jurkovec","+8000","2022-06-25"
"Draftkings","Max Johnson","+8000","2022-06-25"
"Draftkings","Kendall Milton","+10000","2022-06-25"
"Draftkings","Aidan O'Connell","+10000","2022-06-25"
"Draftkings","Casey Thompson","+10000","2022-06-25"
"Draftkings","Cameron Ward","+10000","2022-06-25"
"Draftkings","Taulia Tagovailoa","+10000","2022-06-25"
"Draftkings","Tyler Shough","+10000","2022-06-25"
"Draftkings","Blake Corum","+10000","2022-06-25"
"Draftkings","Conner Weigman","+10000","2022-06-25"
"Draftkings","JJ McCarthy","+10000","2022-06-25"
"Draftkings","Jake Haener","+10000","2022-06-25"
"Draftkings","Drew Pyne","+10000","2022-06-25"
"Draftkings","Luke Altmyer","+10000","2022-06-25"
"Draftkings","Chris Rodriguez Jr.","+10000","2022-06-25"
"Draftkings","Tyler Buchner","+10000","2022-06-25"
"Draftkings","Haynes King","+10000","2022-06-25"
"Draftkings","Grayson McCall","+10000","2022-06-25"
"Draftkings","Cameron Rising","+10000","2022-06-25"
"Draftkings","Will Shipley","+10000","2022-06-25"
"Draftkings","Mohamed Ibrahim","+10000","2022-06-25"
"Draftkings","Brennan Armstrong","+10000","2022-06-25"
"Draftkings","Stetson Bennett IV","+10000","2022-06-25"
