"Sportsbook","Team","Odds","Date"
"BetMGM","Air Force","+100000","2022-09-01"
"BetMGM","Akron","+100000","2022-09-01"
"BetMGM","Alabama","+190","2022-09-01"
"BetMGM","Appalachian State","+100000","2022-09-01"
"BetMGM","Arizona","+40000","2022-09-01"
"BetMGM","Arizona St.","+10000","2022-09-01"
"BetMGM","Arkansas","+8000","2022-09-01"
"BetMGM","Arkansas State","+100000","2022-09-01"
"BetMGM","Army","+25000","2022-09-01"
"BetMGM","Auburn","+15000","2022-09-01"
"BetMGM","Ball State","+100000","2022-09-01"
"BetMGM","Baylor","+8000","2022-09-01"
"BetMGM","Boise State","+50000","2022-09-01"
"BetMGM","Boston College","+50000","2022-09-01"
"BetMGM","Bowling Green","+100000","2022-09-01"
"BetMGM","Buffalo","+100000","2022-09-01"
"BetMGM","BYU","+20000","2022-09-01"
"BetMGM","California","+50000","2022-09-01"
"BetMGM","Central Michigan","+100000","2022-09-01"
"BetMGM","Charlotte","+100000","2022-09-01"
"BetMGM","Cincinnati","+15000","2022-09-01"
"BetMGM","Clemson","+1200","2022-09-01"
"BetMGM","Coastal Carolina","+50000","2022-09-01"
"BetMGM","Colorado","+50000","2022-09-01"
"BetMGM","Colorado State","+100000","2022-09-01"
"BetMGM","Duke","+100000","2022-09-01"
"BetMGM","East Carolina","+100000","2022-09-01"
"BetMGM","Eastern Michigan","+100000","2022-09-01"
"BetMGM","Florida International","+100000","2022-09-01"
"BetMGM","Florida","+10000","2022-09-01"
"BetMGM","Florida Atlantic","+100000","2022-09-01"
"BetMGM","Florida State","+15000","2022-09-01"
"BetMGM","Fresno State","+50000","2022-09-01"
"BetMGM","Georgia Southern","+100000","2022-09-01"
"BetMGM","Georgia State","+100000","2022-09-01"
"BetMGM","Georgia Tech","+50000","2022-09-01"
"BetMGM","Hawaii","+100000","2022-09-01"
"BetMGM","Houston","+25000","2022-09-01"
"BetMGM","Illinois","+100000","2022-09-01"
"BetMGM","Indiana","+25000","2022-09-01"
