URL,Id,Input Name,First Name,Last Name,Current Eligible Year,Position,Height,Weight,Current Class,College,DOB,Jersey Number,Team
https://premium.pff.com/ncaa/players/2021/REGPO/jaylan-foster/13095/snaps,13095,Jaylan Foster,Jaylan,Foster,2022,S,510,,RSN,,,D12,South Carolina Gamecocks
https://premium.pff.com/ncaa/players/2021/REGPO/mark-williams/21922/snaps,21922,Mark Williams,Mark,Williams,2022,CB,600,,G,Eastern Illinois Panthers,,D21,Louisiana-Monroe Warhawks
https://premium.pff.com/ncaa/players/2021/REGPO/devin-taylor/22317/snaps,22317,Devin Taylor,Devin,Taylor,2022,CB,601,,RSN,,,D3,Bowling Green Falcons
https://premium.pff.com/ncaa/players/2021/REGPO/cortez-davis/22974/snaps,22974,Cortez Davis,Cortez,Davis,2022,CB,511,,SN,,,D18,Hawaii Warriors
https://premium.pff.com/ncaa/players/2021/REGPO/dru-prox/23093/snaps,23093,Dru Prox,Dru,Prox,2022,LB,602,,SN,,,D16,UTSA Roadrunners
https://premium.pff.com/ncaa/players/2021/REGPO/reggie-stubblefield/23441/snaps,23441,Reggie Stubblefield,Reggie,Stubblefield,2022,S,600,,SN,,,D1,Kansas State Wildcats
https://premium.pff.com/ncaa/players/2021/REGPO/mikel-horton/23509/snaps,23509,Mikel Horton,Mikel,Horton,2022,DI,0,,G,,,D44,Charlotte 49ers
https://premium.pff.com/ncaa/players/2021/REGPO/colby-burton/23898/snaps,23898,Colby Burton,Colby,Burton,2022,CB,510,,SN,,,D22,Hawaii Warriors
https://premium.pff.com/ncaa/players/2021/REGPO/darion-dunn/23963/snaps,23963,Darion Dunn,Darion,Dunn,2022,CB,601,,SN,,,D4,Texas Longhorns
https://premium.pff.com/ncaa/players/2021/REGPO/darren-evans/24171/snaps,24171,Darren Evans,Darren,Evans,2022,CB,603,,SN,,,D24,LSU Tigers
https://premium.pff.com/ncaa/players/2021/REGPO/alvinoski-lafleur/24504/snaps,24504,Alvinoski LaFleur,Alvinoski,LaFleur,2024,S,600,,S,Eastern Michigan Eagles,,D6,Eastern Michigan Eagles
https://premium.pff.com/ncaa/players/2021/REGPO/luc-bequette/25776/snaps,25776,Luc Bequette,Luc,Bequette,2022,DI,602,,RSN,,1997-07-01,D93,California Golden Bears
https://premium.pff.com/ncaa/players/2021/REGPO/jeremiah-moon/26453/snaps,26453,Jeremiah Moon,Jeremiah,Moon,2022,LB,602,,RSN,Florida Gators,,D7,Florida Gators
https://premium.pff.com/ncaa/players/2021/REGPO/demario-mccall/28012/snaps,28012,Demario McCall,Demario,McCall,2022,CB,509,,SN,,,D1,Ohio State Buckeyes
https://premium.pff.com/ncaa/players/2021/REGPO/brenden-schooler/28253/snaps,28253,Brenden Schooler,Brenden,Schooler,2022,S,602,,SN,,,D14,Texas Longhorns
https://premium.pff.com/ncaa/players/2021/REGPO/richard-moore/28853/snaps,28853,Richard Moore,Richard,Moore,2022,LB,601,,SN,,,D14,SMU Mustangs
https://premium.pff.com/ncaa/players/2021/REGPO/jack-jones/29050/snaps,29050,Jack Jones,Jack,Jones,2022,CB,510,,G,,,D0,Arizona State Sun Devils
https://premium.pff.com/ncaa/players/2021/REGPO/adeeb-atariwa/30482/snaps,30482,Adeeb Atariwa,Adeeb,Atariwa,2022,ED,603,,SN,,,D95,Virginia Cavaliers
https://premium.pff.com/ncaa/players/2021/REGPO/marshaun-cameron/30624/snaps,30624,Marshaun Cameron,Marshaun,Cameron,2022,CB,509,,G,,,D26,Colorado State Rams
https://premium.pff.com/ncaa/players/2021/REGPO/brian-cavicante/33444/snaps,33444,Brian Cavicante,Brian,Cavicante,2022,LB,602,,RSN,,,D16,Marshall Thundering Herd
https://premium.pff.com/ncaa/players/2021/REGPO/brock-nichols/33753/snaps,33753,Brock Nichols,Brock,Nichols,2022,S,600,,G,,,D16,USF Bulls
https://premium.pff.com/ncaa/players/2021/REGPO/meiko-dotson/33902/snaps,33902,Meiko Dotson,Meiko,Dotson,2022,CB,511,,RSN,,,D9,Florida State Seminoles
https://premium.pff.com/ncaa/players/2021/REGPO/denzel-feaster/34561/snaps,34561,Denzel Feaster,Denzel,Feaster,2024,LB,603,,S,,,D20,UTSA Roadrunners
https://premium.pff.com/ncaa/players/2021/REGPO/ferrod-gardner/34595/snaps,34595,Ferrod Gardner,Ferrod,Gardner,2022,LB,601,,RSN,,,D7,Louisiana Ragin' Cajuns
https://premium.pff.com/ncaa/players/2021/REGPO/john-petrishen/35069/snaps,35069,John Petrishen,John,Petrishen,2022,LB,601,,RSN,,,D0,Pittsburgh Panthers
https://premium.pff.com/ncaa/players/2021/REGPO/cristian-williams/36151/snaps,36151,Cristian Williams,Cristian,Williams,2022,S,511,,G,,,D3,Tulsa Golden Hurricane
https://premium.pff.com/ncaa/players/2021/REGPO/scott-patchan/36449/snaps,36449,Scott Patchan,Scott,Patchan,2022,ED,606,,G,,,D1,Colorado State Rams
https://premium.pff.com/ncaa/players/2021/REGPO/elijah-taylor/36723/snaps,36723,Elijah Taylor,Elijah,Taylor,2022,ED,603,,G,,,D58,Tulsa Golden Hurricane
https://premium.pff.com/ncaa/players/2021/REGPO/thad-mangum/36819/snaps,36819,Thad Mangum,Thad,Mangum,2022,DI,602,,G,,,D23,USF Bulls
https://premium.pff.com/ncaa/players/2021/REGPO/micah-dewtreadway/37050/snaps,37050,Micah Dew-Treadway,Micah,Dew-Treadway,2022,DI,604,,G,,,D18,Minnesota Golden Gophers
https://premium.pff.com/ncaa/players/2021/REGPO/tony-fair/37101/snaps,37101,Tony Fair,Tony,Fair,2022,DI,601,,SN,,,D90,Auburn Tigers
https://premium.pff.com/ncaa/players/2021/REGPO/cameron-goode/38410/snaps,38410,Cameron Goode,Cameron,Goode,2022,ED,604,,RSN,California Golden Bears,,D19,California Golden Bears
https://premium.pff.com/ncaa/players/2021/REGPO/josh-drayden/38498/snaps,38498,Josh Drayden,Josh,Drayden,2022,CB,510,,RSN,California Golden Bears,,D20,California Golden Bears
https://premium.pff.com/ncaa/players/2021/REGPO/viane-moala/38501/snaps,38501,Viane Moala,Viane,Moala,2022,DI,606,,SN,,,D98,Utah Utes
https://premium.pff.com/ncaa/players/2021/REGPO/demetris-robertson/38547/snaps,38547,Demetris Robertson,Demetris,Robertson,2022,WR,600,,SN,,,0,Auburn Tigers
https://premium.pff.com/ncaa/players/2021/REGPO/devante-cross/39851/snaps,39851,De'Vante Cross,De'Vante,Cross,2022,CB,602,,SN,,,D2,Virginia Cavaliers
https://premium.pff.com/ncaa/players/2021/REGPO/jordan-carmouche/39951/snaps,39951,Jordan Carmouche,Jordan,Carmouche,2023,LB,602,,J,,,D40,Houston Cougars
https://premium.pff.com/ncaa/players/2021/REGPO/derrion-rakestraw/39968/snaps,39968,Derrion Rakestraw,Derrion,Rakestraw,2022,S,602,,SN,,,D13,Tulane Green Wave
https://premium.pff.com/ncaa/players/2021/REGPO/tyrell-alexander/39986/snaps,39986,Tyrell Alexander,Tyrell,Alexander,2022,WR,601,,G,,,81,Vanderbilt Commodores
