player,LinkName,Link,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,Snaps,RushAttempts,DesignedYards,IsTransfer,X2023School,DraftYear
Will Rogers,Will-Rogers,https://premium.pff.com/api/v1/players?league=ncaa&id=124184,124184,QB,MISS STATE,13,78.2,565,614,6,2.52,21,14,2.2,67.1,412,1,133,6.8,655,30,211,227,55.1,72.8,72.5,47.7,1,8,687,4,18,98.4,3.7,24,14,6,21,35,19,2.8,3955,6.4,935,11,-37,0,Mississippi State,2024
Kyle Vantrease,Kyle-Vantrease,https://premium.pff.com/api/v1/players?league=ncaa&id=55029,55029,QB,GA SOUTHRN,13,69.4,572,605,8.8,2.31,7,24,3.8,61.7,373,0,136,6,620,24,200,174,66.4,71.2,70.4,55.4,1,16,650,0,4.4,86.7,1,6,8,1,24,27,25,3.8,4270,7.1,997,23,39,0,Georgia Southern,2023
Austin Reed,Austin-Reed,https://premium.pff.com/api/v1/players?league=ncaa&id=111760,111760,QB,W KENTUCKY,14,73,574,605,8.6,2.3,15,35,5.5,64.6,391,0,109,6.7,643,28,215,346,56.3,79.7,78.4,64.7,5,11,671,2,11.9,103.1,2,13,19,2,9,40,24,3.6,4744,7.8,1025,66,204,2,Western Kentucky,2024
Michael Penix Jr.,Michael-Penix-Jr.,https://premium.pff.com/api/v1/players?league=ncaa&id=82134,82134,QB,WASHINGTON,13,74.1,533,558,10.1,2.58,4,27,4.6,64.9,362,0,125,8.4,576,33,224,340,81.7,88,88.2,54,1,8,608,5,3.2,103.3,0.7,4,14,3,17,31,8,1.3,4641,8.3,954,25,35,0,Washington,2024
Drake Maye,Drake-Maye,https://premium.pff.com/api/v1/players?league=ncaa&id=143969,143969,QB,N CAROLINA,14,75.4,476,516,10.4,2.88,5,45,8.4,65.7,339,0,235,5.6,639,20,234,245,62,91.5,90.8,74.8,7,7,664,3,18.3,109.7,6.7,43,76,2,26,37,16,2.4,4293,8.3,1048,77,353,0,North Carolina,2025
Caleb Williams,Caleb-Williams,https://premium.pff.com/api/v1/players?league=ncaa&id=144622,144622,QB,USC,14,76,475,502,9.7,3.24,6,32,6,66.5,334,0,187,7.5,568,27,225,326,58.7,91.6,89.9,82.8,4,5,605,4,16,118.9,5.3,30,36,1,16,42,11,1.8,4539,9,995,58,303,0,USC,2025
Cameron Ward,Cameron-Ward,https://premium.pff.com/api/v1/players?league=ncaa&id=133244,133244,QB,WASH STATE,13,75.1,462,501,7,2.97,6,10,1.9,63.9,320,0,213,7.8,591,27,178,341,45.4,59.9,58,64.4,1,9,616,4,21.6,90,7.8,46,39,0,32,23,21,3.4,3228,6.4,887,32,59,0,Washington State,2025
Aidan O'Connell,Aidan-O'Connell,https://premium.pff.com/api/v1/players?league=ncaa&id=60516,60516,QB,PURDUE,12,73,466,499,8.3,2.5,5,21,4,63.7,318,0,135,6.5,533,22,171,273,63.8,67.2,67.4,52,6,13,566,6,16.3,88.1,4.1,22,11,0,22,22,25,4.4,3483,7,894,16,18,0,Purdue,2023
Clayton Tune,Clayton-Tune,https://premium.pff.com/api/v1/players?league=ncaa&id=77652,77652,QB,HOUSTON,13,79.5,458,496,9.7,3.2,7,30,5.8,67.1,333,0,156,8.5,579,31,222,182,58.2,92,91.3,73.2,2,10,609,2,16.7,110.7,4.5,26,55,1,28,40,18,3,4065,8.2,932,55,313,0,Houston,2023
John Paddock,John-Paddock,https://premium.pff.com/api/v1/players?league=ncaa&id=77689,77689,QB,BALL ST,12,67.3,453,483,7.4,2.19,13,10,2,59.8,289,0,124,5.2,501,16,145,117,74.5,62.6,61.7,53,4,14,530,1,10.5,76,2.6,13,5,0,13,18,20,3.8,2743,5.7,918,17,7,2,Ball State,2024
Frank Harris,Frank-Harris,https://premium.pff.com/api/v1/players?league=ncaa&id=60586,60586,QB,UTSA,14,77.3,449,476,8.7,2.61,9,21,4.2,69.1,329,0,159,5.2,551,18,224,331,53.3,90.1,85.1,76.7,1,9,577,3,14.5,109.8,4.2,23,51,2,15,32,13,2.3,4066,8.5,1002,67,292,0,UT San Antonio,2024
Holton Ahlers,Holton-Ahlers,https://premium.pff.com/api/v1/players?league=ncaa&id=77651,77651,QB,E CAROLINA,13,74.1,451,473,8.6,2.45,10,21,4.2,66.8,316,0,159,5.4,509,18,173,156,76.7,85.3,82.6,67.8,4,5,542,1,10.1,105.7,3.1,16,20,2,6,28,12,2.2,3699,7.8,913,39,165,0,East Carolina,2023
Chase Cunningham,Chase-Cunningham,https://premium.pff.com/api/v1/players?league=ncaa&id=78533,78533,QB,MIDDLE TN,12,77,427,463,5.9,2.43,4,18,3.6,66.3,307,0,177,6.7,505,22,148,224,58.5,62.9,65.6,50.1,2,10,539,3,16.4,91.8,5.7,29,12,1,29,21,19,3.5,3151,6.8,865,64,185,0,Middle Tennessee,2023
Cole Snyder,Cole-Snyder,https://premium.pff.com/api/v1/players?league=ncaa&id=97617,97617,QB,BUFFALO,13,67.7,424,461,9.8,2.5,10,17,3.5,58.8,271,0,148,5.6,523,16,152,126,58.4,62,59.6,61,3,8,548,1,22.3,84.1,6.3,33,28,0,24,18,28,5.1,3013,6.5,994,62,127,0,Buffalo,2025
Hunter Dekkers,Hunter-Dekkers,https://premium.pff.com/api/v1/players?league=ncaa&id=122511,122511,QB,IOWA STATE,12,74.2,442,458,7.5,2.61,2,15,3.2,65.9,302,1,155,7.9,507,26,160,193,71.4,73.7,74.7,56.8,2,14,527,3,17.4,85.8,5.3,27,21,1,11,19,13,2.5,3044,6.6,845,45,117,0,Iowa State,2024
Seth Henigan,Seth-Henigan,https://premium.pff.com/api/v1/players?league=ncaa&id=144267,144267,QB,MEMPHIS,13,73.9,437,456,9.1,2.79,4,25,5.1,64.3,293,0,162,9.3,546,30,176,218,63.4,80.2,80.4,62.3,2,8,582,3,21,97.3,6.2,34,53,1,12,22,14,2.4,3597,7.9,944,64,165,0,Memphis,2025
Stetson Bennett,Stetson-Bennett,https://premium.pff.com/api/v1/players?league=ncaa&id=60387,60387,QB,GEORGIA,15,76.3,430,454,9.4,2.53,6,28,5.9,68.1,309,1,90,5.8,479,19,205,173,47.5,90.2,89.1,66.1,4,7,499,3,12.2,110.1,2.3,11,12,1,13,27,12,2.4,4132,9.1,980,47,178,0,Georgia,2023
Jack Plummer,Jack-Plummer,https://premium.pff.com/api/v1/players?league=ncaa&id=83543,83543,QB,CAL,12,74.9,411,453,9,2.57,3,19,3.9,62.3,282,0,183,8.4,496,26,149,130,68.1,78.4,74.9,75.4,7,9,528,3,16.9,89.6,6.3,31,12,0,32,21,18,3.4,3095,6.8,798,11,-1,2,California,2024
Layne Hatcher,Layne-Hatcher,https://premium.pff.com/api/v1/players?league=ncaa&id=82068,82068,QB,TEXAS ST,12,71.7,406,447,8.1,2.74,6,17,3.7,61.7,276,0,138,5.2,492,15,120,314,60.9,59.1,59.2,52.3,2,10,510,5,19.6,83.4,5.5,27,15,1,32,19,21,4.1,2680,6,850,7,18,2,Texas State,2024
E.J. Warner,E.J.-Warner,https://premium.pff.com/api/v1/players?league=ncaa&id=156185,156185,QB,TEMPLE,11,69.7,419,443,8.5,2.31,7,13,2.8,60.5,268,0,130,8.2,454,24,148,306,55.8,60.8,63,31,1,12,473,3,5.4,83.2,1.5,7,4,0,16,18,22,4.7,3025,6.8,705,13,-16,0,Temple,2026
Tanner Mordecai,Tanner-Mordecai,https://premium.pff.com/api/v1/players?league=ncaa&id=77656,77656,QB,SMU,12,74.2,418,439,9,2.67,3,28,6,64.7,284,0,113,8.4,484,26,166,287,44.9,77.8,80.5,44.4,3,10,512,1,16.8,104.6,3.9,19,25,0,15,33,13,2.5,3486,7.9,871,21,71,2,SMU,2023
Jayden de Laura,Jayden-de-Laura,https://premium.pff.com/api/v1/players?league=ncaa&id=131928,131928,QB,ARIZONA,12,70.4,422,438,10,3.11,3,29,6.3,62.1,272,0,163,8.4,504,25,192,109,27.6,76.3,73.7,69,1,13,528,6,16.6,95.5,5.4,27,38,2,10,25,24,4.5,3685,8.4,818,19,-2,0,Arizona,2025
Tanner McKee,Tanner-McKee,https://premium.pff.com/api/v1/players?league=ncaa&id=131770,131770,QB,STANFORD,12,72,393,433,7.8,2.51,7,15,3.3,61.2,265,0,148,6.4,499,18,145,300,74.2,75.4,75.2,55.7,2,8,525,0,27,83.8,8,40,24,7,24,13,8,1.5,2949,6.8,791,13,1,0,Stanford,2023
Sam Hartman,Sam-Hartman,https://premium.pff.com/api/v1/players?league=ncaa&id=77618,77618,QB,WAKE,12,71.2,410,430,12.8,2.99,8,25,5.4,62.8,270,0,167,7.5,504,22,190,339,44.5,88.4,89.4,55.9,8,12,535,2,22.2,108.1,7.3,37,37,0,4,38,18,3.4,3700,8.6,898,38,91,2,Wake Forest,2024
Connor Bazelak,Connor-Bazelak,https://premium.pff.com/api/v1/players?league=ncaa&id=99135,99135,QB,INDIANA,10,64.7,391,428,8.2,2.52,5,7,1.5,54.9,235,0,154,7.1,453,18,112,190,61.8,52.5,52.8,49.8,2,10,485,6,14.9,70.7,5.1,23,1,0,30,13,15,3.1,2312,5.4,729,21,39,2,Indiana,2024
Chevan Cordeiro,Chevan-Cordeiro,https://premium.pff.com/api/v1/players?league=ncaa&id=75886,75886,QB,S JOSE ST,12,70.3,400,427,10.3,2.72,8,27,5.9,60.7,259,0,160,7.8,534,22,169,285,71.3,78.2,74.9,68.5,2,6,565,2,26.9,96.4,8.1,43,64,1,16,23,13,2.3,3245,7.6,801,38,122,0,San José State,2024
Carter Bradley,Carter-Bradley,https://premium.pff.com/api/v1/players?league=ncaa&id=77685,77685,QB,S ALABAMA,13,75.1,401,427,8.5,2.44,10,24,5.4,64.2,274,0,131,9,482,27,177,288,74.8,75.7,76,59.1,8,12,504,5,18.3,98.2,5,24,30,1,7,28,16,3.2,3335,7.8,934,23,1,0,South Alabama,2023
Max Duggan,Max-Duggan,https://premium.pff.com/api/v1/players?league=ncaa&id=99470,99470,QB,TCU,15,74.2,391,420,9.7,2.8,13,21,4.8,63.6,267,0,162,7.9,481,23,158,305,68.9,83,77,77.6,2,8,504,5,18.5,109.2,6.2,30,30,1,13,32,15,3,3697,8.8,948,87,422,0,TCU,2023
Austin Aune,Austin-Aune,https://premium.pff.com/api/v1/players?league=ncaa&id=83528,83528,QB,N TEXAS,14,64.9,388,412,12,2.54,6,28,6.4,56.3,232,0,108,7.9,437,20,158,251,68.4,72.4,71.4,61.1,2,15,463,2,10.2,96.4,2.5,11,12,2,14,33,23,5,3544,8.6,928,30,44,0,North Texas,2023
Hayden Wolff,Hayden-Wolff,https://premium.pff.com/api/v1/players?league=ncaa&id=98362,98362,QB,DOMINION,12,66.2,385,411,9.6,2.69,12,25,5.8,56.9,234,0,166,8.2,469,21,128,263,34.9,65.4,65,57.9,2,6,493,2,21.7,87.5,7.7,36,21,1,11,18,22,4.5,2904,7.1,735,8,1,2,Old Dominion,2024
Bo Nix,Bo-Nix,https://premium.pff.com/api/v1/players?league=ncaa&id=97790,97790,QB,OREGON,13,82.3,373,408,7.4,2.62,7,16,3.7,71.8,293,0,93,4.6,440,14,170,264,77.8,86.7,79,81.6,2,7,466,4,6.5,115.1,1.4,6,25,0,26,29,8,1.7,3589,8.8,900,66,238,0,Oregon,2024
Spencer Rattler,Spencer-Rattler,https://premium.pff.com/api/v1/players?league=ncaa&id=97408,97408,QB,S CAROLINA,13,77.3,362,404,7.6,2.81,1,21,5,65.3,264,0,157,5.7,476,16,129,289,36.3,64.3,64.2,55.4,5,12,500,5,17.8,90.3,5.9,28,36,1,35,18,22,4.4,3032,7.5,802,10,5,0,South Carolina,2024
Brayden Schager,Brayden-Schager,https://premium.pff.com/api/v1/players?league=ncaa&id=146078,146078,QB,HAWAII,12,67.6,380,402,10,2.78,2,19,4.5,55,221,0,142,14,440,36,114,180,59.5,65.8,63.9,63.7,3,10,463,2,9.9,72.6,3.2,14,16,1,16,13,17,3.7,2348,5.8,773,24,32,0,Hawai'i,2025
Taulia Tagovailoa,Taulia-Tagovailoa,https://premium.pff.com/api/v1/players?league=ncaa&id=97271,97271,QB,MARYLAND,12,76.8,370,392,7.8,2.99,5,19,4.6,66.8,262,0,143,7.7,451,22,150,215,62.6,79.9,78.5,64.3,0,8,475,2,23.8,96.5,7.5,34,25,0,17,18,20,4.2,3001,7.7,777,32,82,0,Maryland,2024
Riley Leonard,Riley-Leonard,https://premium.pff.com/api/v1/players?league=ncaa&id=143862,143862,QB,DUKE,13,70.7,365,392,8.4,2.72,5,16,3.8,63.5,249,0,132,3.5,453,9,144,154,74.4,77.3,69.2,79.3,7,6,482,2,10.6,97,3.1,14,45,2,13,20,8,1.7,2951,7.5,891,73,441,0,Duke,2025
Jayden Daniels,Jayden-Daniels,https://premium.pff.com/api/v1/players?league=ncaa&id=97993,97993,QB,LSU,14,77.2,373,390,8.2,2.94,4,12,2.9,68.2,266,0,146,7.6,505,22,183,211,68.9,88.7,79.3,82.9,2,3,536,0,30.8,101.4,8.9,45,70,2,9,17,3,0.6,2913,7.5,861,80,411,0,LSU,2024
Payton Thorne,Payton-Thorne,https://premium.pff.com/api/v1/players?league=ncaa&id=101629,101629,QB,MICH STATE,12,71.7,364,390,8.5,2.69,9,18,4.2,62.1,242,1,124,7.3,423,19,134,223,68.6,71.8,70.7,61.7,1,11,460,4,15.3,86.9,4.5,19,13,2,14,19,14,3,2679,6.9,774,33,68,1,Michigan State,2024
