player,,,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,Snaps,IsTransfer,X2023School,DraftYear
Xavier Hutchinson,Xavier-Hutchinson,https://premium.pff.com/api/v1/players?league=ncaa&id=122518,122518,WR,IOWA STATE,12,9.2,15,66.5,45.2,14,31,0,5.3,6,62,193,1,81.3,78.5,89.7,,89.4,0.4,2,3,38,0,0,451,0,107,95.3,430,29.3,132,92.4,161,6,70.1,316,1171,447,4.2,10.9,2.72,676,0,Iowa State,2023
Rashee Rice,Rashee-Rice,https://premium.pff.com/api/v1/players?league=ncaa&id=97605,97605,WR,SMU,12,11.2,18,61.5,48.5,16,33,1,8.6,9,56,287,3,64.9,27.9,86,,85.6,0.2,1,4,75,0,0,469,1,96,93.8,440,17.3,81,99.9,156,10,82.5,387,1344,593,6.2,14,3.05,789,0,SMU,2023
Charlie Jones,Charlie-Jones,https://premium.pff.com/api/v1/players?league=ncaa&id=55038,55038,WR,PURDUE,13,11.1,6,71.4,52.4,22,42,1,2.7,3,63,273,1,91,74.3,81.6,61,83.8,0,0,2,60,0.2,1,536,3,110,94.2,505,11.6,62,119,154,12,88.4,474,1361,431,3.9,12.4,2.7,834,0,Purdue,2023
Nathaniel Dell,Nathaniel-Dell,https://premium.pff.com/api/v1/players?league=ncaa&id=78874,78874,WR,HOUSTON,13,11.6,19,71.1,53.8,7,13,0,8.5,10,71,182,3,69.8,44.5,83,,83.9,0,0,2,63,0,0,579,2,108,95.2,551,67,388,131.4,152,17,32.8,190,1399,530,4.9,13,2.54,871,0,Houston,2023
Malachi Corley,Malachi-Corley,https://premium.pff.com/api/v1/players?league=ncaa&id=66272,66272,WR,W KENTUCKY,14,6.1,40,73.7,33.3,6,18,0,2.9,3,55,346,0,90.5,79.8,84.1,63.1,84.3,0,0,2,76,0.2,1,507,2,101,94.9,481,90.7,460,123.2,137,11,7.7,39,1282,975,9.7,12.7,2.67,713,0,Western Kentucky,2025
Zakhari Franklin,Zakhari-Franklin,https://premium.pff.com/api/v1/players?league=ncaa&id=97620,97620,WR,UTSA,14,8.9,20,71,50,16,32,0,7,7,62,331,0,74.1,76.7,75.7,,77.7,0.2,1,2,43,0,0,575,3,93,95.3,548,16.9,97,128.9,131,15,83,477,1128,524,5.6,12.1,2.06,977,0,UT San Antonio,2023
Isaiah Winstead,Isaiah-Winstead,https://premium.pff.com/api/v1/players?league=ncaa&id=91115,91115,WR,E CAROLINA,13,10.7,15,67.7,48.7,19,39,0,3.3,3,53,156,2,87.6,38.7,75.6,,77.1,0,0,1,67,0,0,537,5,88,94,505,7.3,39,105.4,130,6,92.7,498,1085,329,3.7,12.3,2.15,890,0,East Carolina,2023
Jayshon Jackson,Jayshon-Jackson,https://premium.pff.com/api/v1/players?league=ncaa&id=78041,78041,WR,BALL ST,12,8.5,13,58.9,30,9,30,0,6.2,5,44,117,0,76.7,85.6,72.4,54.4,71.8,0,0,3,43,0,0,478,0,76,94.4,451,49.4,236,75.7,129,3,50.6,242,820,462,6.1,10.8,1.82,770,0,Ball State,2023
A.T. Perry,A.T.-Perry,https://premium.pff.com/api/v1/players?league=ncaa&id=77975,77975,WR,WAKE,13,14.7,5,62.8,44,11,25,0,9,8,54,339,0,66.7,76,83.4,,83.5,0,0,5,68,0,0,452,1,81,94.7,428,8.8,40,102.2,129,11,91.2,412,1100,164,2,13.6,2.57,756,0,Wake Forest,2023
Khaleb Hood,Khaleb-Hood,https://premium.pff.com/api/v1/players?league=ncaa&id=97159,97159,WR,GA SOUTHRN,13,7.6,11,69.3,38.1,8,21,0,5.4,5,43,174,2,79.7,46.4,65.5,62.1,66.4,0.2,1,2,46,0.2,1,520,2,88,95.6,497,93.1,484,91.4,127,3,6.3,33,921,527,6,10.5,1.85,742,0,Georgia Southern,2023
