player,Linkname,Link,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,Snaps,IsTransfer,X2023School,DraftYear
Brad Roberts,Brad-Roberts,https://premium.pff.com/api/v1/players?league=ncaa&id=125398,125398,HB,AIR FORCE,13,344,37,15,25.4,437,0,1723,0,1,37,855,27.4,25,94,101,2,146,87,90.1,62.9,,49.5,64.3,87,60.2,71,1,9,1,14,542,0,0,1,345,17,1723,855,2.49,5,0.64,6,608,0,Air Force,2023
Chase Brown,Chase-Brown,https://premium.pff.com/api/v1/players?league=ncaa&id=77787,77787,HB,ILLINOIS,12,329,77,23,32,522,0,1632,1,6,77,935,66.3,48,79,187,5,114,74.5,80.9,62.7,48.5,65.1,62.1,81.3,69.6,49,2,240,27,233,365,0,0,30,356,10,1632,935,2.84,5,1.03,205,719,0,Illinois,2023
Mohamed Ibrahim,Mohamed-Ibrahim,https://premium.pff.com/api/v1/players?league=ncaa&id=55226,55226,HB,MINNESOTA,12,320,70,21,30.2,506,0,1675,0,1,70,1106,75,48,110,225,2,128,85.7,89.6,85.6,,35.6,59.7,87.8,62,54,0,50,7,118,347,0,0,7,327,20,1675,1106,3.46,5.2,0.42,192,521,0,Minnesota,2023
Khalan Laborn,Khalan-Laborn,https://premium.pff.com/api/v1/players?league=ncaa&id=57204,57204,HB,MARSHALL,13,303,65,19,38.6,593,0,1535,1,5,65,865,62.3,38,85,214,5,64,66.1,79.5,61.6,60,43.9,60,83.1,45.6,83,1,131,18,245,364,0,0,26,321,16,1535,865,2.85,5.1,0.53,238,687,0,Marshall,2023
Deuce Vaughn,Deuce-Vaughn,https://premium.pff.com/api/v1/players?league=ncaa&id=122624,122624,HB,KANSAS ST,14,291,57,21,42.8,668,0,1561,1,5,57,684,43.6,36,59,199,1,177,90.3,82.1,66.1,,21.3,74.9,84.5,50.4,88,1,373,43,309,410,0,0,58,334,9,1561,684,2.35,5.4,1.21,111,789,0,Kansas State,2023
Carson Steele,Carson-Steele,https://premium.pff.com/api/v1/players?league=ncaa&id=145632,145632,HB,BALL ST,12,289,96,25,38.2,583,0,1528,0,9,96,1161,132.6,42,75,117,3,103,78,88.3,61.7,,41.1,65.6,90.8,46.6,48,1,166,29,244,334,0,0,36,318,14,1528,1161,4.02,5.3,0.68,184,684,2,UCLA,2025
Marquez Cooper,Marquez-Cooper,https://premium.pff.com/api/v1/players?league=ncaa&id=130489,130489,HB,KENT STATE,12,284,81,18,27.4,361,0,1318,0,1,81,799,79,43,80,201,1,139,90.1,86.1,61.5,,73,56.4,87.4,58.2,46,1,94,8,207,346,0,0,13,292,13,1318,799,2.81,4.6,0.45,141,674,2,Ball State,2024
Quinshon Judkins,Quinshon-Judkins,https://premium.pff.com/api/v1/players?league=ncaa&id=157128,157128,HB,OLE MISS,13,275,76,27,47.2,740,0,1567,0,6,76,929,95.5,42,91,226,2,106,83,88.2,87.4,60.4,47.9,57.1,90.7,47.9,61,1,132,15,208,345,0,0,17,290,16,1567,929,3.38,5.7,0.63,168,622,0,Ole Miss,2026
Jordan Mims,Jordan-Mims,https://premium.pff.com/api/v1/players?league=ncaa&id=57209,57209,HB,FRESNO ST,14,260,42,18,37.9,520,1,1371,0,5,42,612,39.4,29,81,169,0,74,91.8,83.7,64,,58,53,90.2,46.1,82,2,132,21,324,296,0,0,27,281,18,1371,612,2.35,5.3,0.41,179,709,0,Fresno State,2023
Bijan Robinson,Bijan-Robinson,https://premium.pff.com/api/v1/players?league=ncaa&id=123126,123126,HB,TEXAS,12,257,104,21,38.6,608,0,1575,0,8,104,1071,169.1,41,79,311,2,112,81.6,95.2,87.7,,59,73.9,96,70.8,78,0,314,19,207,278,0,0,29,276,18,1575,1071,4.17,6.1,1.52,145,558,0,Texas,2023
