"","week","home_team","home_conference","away_team","away_conference","TAN_Proj_Spread","home_points","away_points","Home_TAN23","Home_SP","HFACW","Away_TAN","Away_SP","TANSpread","TANFAV"
"1",1,"LaGrange College","USA South","Florida Memorial University",NA,"NA NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"Notre Dame","FBS Independents","Navy","American Athletic","Notre Dame -31.7",42,3,90.5,19.1,2.704,61.5,-13.9,-31.7,"Notre Dame"
"3",1,"Mercer","Southern","North Alabama","UAC","Mercer -11",17,7,51,-19.5,1,41,-29.5,-11,"Mercer"
"4",1,"Jacksonville State","Conference USA","UTEP","Conference USA","Jacksonville State -14",17,14,66,-0.7,2.5,54.5,-15.9,-14,"Jacksonville State"
"5",1,"New Mexico State","Conference USA","UMass","FBS Independents","New Mexico State -15.9",30,41,66.5,1,2.424,53,-17.7,-15.9,"New Mexico State"
"6",1,"San Diego State","Mountain West","Ohio","Mid-American","Ohio -2.4",20,13,63.5,-10.5,2.12,68,-2.2,-2.4,"Ohio"
"7",1,"Albany","CAA","Fordham","Patriot","Albany -1",34,13,40,-30.5,1,40,-30.5,-1,"Albany"
"8",1,"Vanderbilt","SEC","Hawai'i","Mountain West","Vanderbilt -5.6",35,28,61,-13.7,1.096,56.5,-16.7,-5.6,"Vanderbilt"
"9",1,"Jackson State","SWAC","South Carolina State","MEAC","NA NA",37,7,45,-25.5,1,NA,NA,NA,NA
"10",1,"USC","Pac-12","San José State","Mountain West","NA NA",56,28,83.5,7.9,2.698,NA,NA,NA,NA
"11",1,"Louisiana Tech","Conference USA","Florida International","Conference USA","Louisiana Tech -6.2",22,17,56,-12.5,2.7,52.5,-20.9,-6.2,"Louisiana Tech"
"12",1,"Kennesaw State","FCS Independents","Tusculum","South Atlantic","NA NA",38,7,57.5,-13,1,NA,NA,NA,NA
"13",1,"Texas A&M-Commerce","Southland","UC Davis","Big Sky","NA NA",10,48,NA,NA,NA,54,-16.5,NA,NA
"14",1,"New Haven","Northeast 10","Frostburg State","Mountain East","NA NA",24,27,NA,NA,NA,NA,NA,NA,NA
"15",1,"Lamar","Southland","Idaho","Big Sky","Idaho -15",17,42,30,-40.5,1,46,-24.5,-15,"Idaho"
"16",1,"Morehead State","Pioneer","West Virginia State","Mountain East","NA NA",37,35,NA,NA,NA,NA,NA,NA,NA
"17",1,"Hiram","North Coast","Heidelberg","Ohio","NA NA",14,68,NA,NA,NA,NA,NA,NA,NA
"18",1,"Northwood (MI)","Great Midwest Athletic","Glenville State","Mountain East","NA NA",9,44,NA,NA,NA,NA,NA,NA,NA
"19",1,"Keiser University",NA,"Mississippi College","Gulf South","NA NA",14,17,NA,NA,NA,NA,NA,NA,NA
"20",1,"Rowan","New Jersey","Stevenson","Mid Atlantic","NA NA",17,20,NA,NA,NA,NA,NA,NA,NA
"21",1,"Alderson-Broaddus","Mountain East","California (PA)","Pennsylvania State Athletic","NA NA",0,0,NA,NA,NA,NA,NA,NA,NA
"22",1,"Charleston Southern","Big South-OVC","North Greenville","Gulf South","NA NA",13,10,43.5,-27,1,NA,NA,NA,NA
"23",1,"UNC Pembroke","Mountain East","Fayetteville State","CIAA","NA NA",19,17,NA,NA,NA,NA,NA,NA,NA
"24",1,"Saginaw Valley","GLIAC","Winona State","Northern Sun","NA NA",34,24,NA,NA,NA,NA,NA,NA,NA
"25",1,"Wingate","South Atlantic","Albany State (GA)","SIAC","NA NA",30,7,NA,NA,NA,NA,NA,NA,NA
"26",1,"Barton College","South Atlantic","Chowan","Gulf South","NA NA",41,0,NA,NA,NA,NA,NA,NA,NA
"27",1,"Minnesota-Duluth","Northern Sun","Northern Michigan","GLIAC","NA NA",47,10,NA,NA,NA,NA,NA,NA,NA
"28",1,"Northwestern Oklahoma State","Great American","Arkansas-Monticello","Great American","NA NA",24,49,NA,NA,NA,NA,NA,NA,NA
"29",1,"Missouri S&T","Great Lakes","Delta State","Gulf South","NA NA",20,48,NA,NA,NA,NA,NA,NA,NA
"30",1,"Quincy","Great Lakes","Chadron State","Rocky Mountain","NA NA",34,35,NA,NA,NA,NA,NA,NA,NA
"31",1,"Northeastern State","Mid America","Fort Hays State","Mid America","NA NA",0,56,NA,NA,NA,NA,NA,NA,NA
"32",1,"Stony Brook","CAA","Delaware","CAA","Delaware -0.5",13,37,45.5,-25,1,47,-23.5,-0.5,"Delaware"
