"","School","PassingTARP","ReceivingTARP","OLTARP","RushingTARP","TacklesTARP","PassDefenseTARP","PressureTARP","StopsTARP"
"1","Air Force",0.953301127214171,0.466183574879227,0.611779091094355,0.940180848597264,0.58592132505176,0.5,0.441048034934498,0.560810810810811
"2","Akron",0.828780300115429,0.943765281173594,1,0.908428720083247,0.755244755244755,0.782608695652174,0.682692307692308,0.782051282051282
"3","Alabama",0.998024105907923,0.434804246848042,0.453149537602513,0.579762989972653,0.808641975308642,0.659090909090909,0.812274368231047,0.81151832460733
"4","Appalachian State",0.957007738607051,0.147485080988917,0.807905138339921,0.904324140279196,0.314845024469821,0.162790697674419,0.468992248062016,0.368715083798883
"5","Arizona",1,0.650637880274779,0.501797420173398,0.888729016786571,0.535460992907801,0.785714285714286,0.442307692307692,0.455445544554455
"6","Arizona State",1,0.637240886347391,0.505248564072094,0.727637921799679,0.181672025723473,0.0869565217391304,0.322916666666667,0.218487394957983
"7","Arkansas",0.989167230873392,0.394321766561514,0.569860064585576,0.751482984701842,0.527817403708987,0.592592592592593,0.375661375661376,0.484042553191489
"8","Arkansas State",1,0.832449628844115,0.282383989443589,0.65880721220527,0.611992945326279,0.878048780487805,0.298701298701299,0.535211267605634
"9","Army",0.174267100977199,0.853420195439739,0.479067662367051,0.667384863991382,0.49390243902439,0.783783783783784,0.520618556701031,0.477777777777778
"10","Auburn",1,0.64775641025641,0.261096605744125,0.946772841575859,0.559774964838256,0.456521739130435,0.732283464566929,0.596306068601583
"11","Ball State",0.0585836114200964,0.422806368011847,0.567779960707269,0.540913921360255,0.254038179148311,0.193548387096774,0.375,0.29595015576324
"12","Baylor",0.997899159663866,0.178921568627451,0.128690228690229,0.248745294855709,0.45619335347432,0.321428571428571,0.642857142857143,0.498759305210918
"13","Boise State",0.984605516356639,0.211353431686979,0.279159086314938,0.523644752018454,0.329181494661922,0.512820512820513,0.163120567375887,0.290419161676647
"14","Boston College",0.451511050969779,0.668012561686855,0.425330341560708,0.68478757423481,0.648798521256932,0.657142857142857,0.579310344827586,0.642105263157895
"15","Bowling Green",1,0.922330097087379,0.820921544209215,0.994715984147952,0.699842022116904,0.567567567567568,0.797752808988764,0.735294117647059
"16","Buffalo",0.305800293685756,0.484567901234568,0.656948125709958,0.777905198776758,0.475675675675676,0.458333333333333,0.581521739130435,0.501597444089457
"17","BYU",0.992430858806405,0.705339670114621,0.909151636606546,0.468306527909177,0.939873417721519,0.764705882352941,0.88125,0.960526315789474
"18","California",0.246315192743764,0.225272658894321,0.490306748466258,0.35724266418258,0.447900466562986,0.577777777777778,0.276923076923077,0.417956656346749
"19","Central Michigan",0.998845265588915,0.498677248677249,0.6695599515543,0.969709047429255,0.711442786069652,0.744186046511628,0.590163934426229,0.71304347826087
"20","Charlotte",1,0.822564775336176,0.287864752200093,0.678443420378904,0.46,0.517241379310345,0.344827586206897,0.356060606060606
"21","Cincinnati",0.487057010785824,0.652326397007248,0.912117780294451,0.349172826469553,0.378960709759189,0.25,0.235109717868339,0.362850971922246
"22","Clemson",0.994154057771664,0.752415458937198,0.915203426124197,0.951042997020008,0.601027397260274,0.511627906976744,0.713333333333333,0.616477272727273
"23","Coastal Carolina",0.858635703918723,0.243889479277365,0.272050267628578,0.541547277936963,0.193877551020408,0.241379310344828,0.296875,0.187692307692308
"24","Colorado",1,0.989781699953553,0.815257841573631,0.998270893371758,0.38659793814433,0.571428571428571,0.256756756756757,0.352313167259786
"25","Colorado State",0.0363636363636364,0.60252935862692,0.230010952902519,0.197386210004507,0.299295774647887,0.333333333333333,0.175925925925926,0.274011299435028
"26","Connecticut",0.957240038872692,0.800810947795236,0.832113225963885,0.73901464713715,0.752688172043011,0.823529411764706,0.706666666666667,0.752411575562701
"27","Duke",0.173225579761068,0.583713583713584,0.625231910946197,0.337021276595745,0.71404399323181,0.486486486486487,0.877659574468085,0.742957746478873
"28","East Carolina",1,0.850076335877863,0.564490124949617,1,0.676579925650558,0.476190476190476,0.867469879518072,0.706840390879479
"29","Eastern Michigan",1,0.961843263868506,0.798496240601504,1,0.856466876971609,0.764705882352941,0.932515337423313,0.861209964412811
"30","Florida",1,0.477611940298507,0.632467768294897,0.68829026937878,0.631172839506173,0.733333333333333,0.427350427350427,0.601694915254237
"31","Florida Atlantic",0.0715245130960376,0.740207566119853,0.478456591639871,0.76967095851216,0.505962521294719,0.458333333333333,0.66412213740458,0.574603174603175
"32","Florida International",0.0510557831705011,0.595335644500473,0.670460424211071,0.497385620915033,0.384024577572965,0.272727272727273,0.547945205479452,0.42560553633218
"33","Florida State",0.677217825905873,0.835019673974143,0.781528363806845,0.607786885245902,0.89033189033189,0.982142857142857,0.637096774193548,0.826972010178117
"34","Fresno State",0.509045165927878,0.579968770912335,0.566189804553697,0.56241670368725,0.559121621621622,0.593220338983051,0.294930875576037,0.524390243902439
"35","Georgia",0.240509689408017,0.879745155295992,0.706823243571573,0.352291736366678,0.391035548686244,0.37037037037037,0.336734693877551,0.358024691358025
"36","Georgia Southern",0.987674609695974,0.687887323943662,0.093966134032912,0.580083301779629,0.54954954954955,0.529411764705882,0.370967741935484,0.526132404181185
"37","Georgia State",1,0.56606463878327,0.44446859378396,0.334427305546439,0.562314540059347,0.511111111111111,0.522267206477733,0.575596816976127
"38","Georgia Tech",1,0.77344398340249,0.534544585225914,0.841423948220065,0.617845117845118,0.55,0.806896551724138,0.666666666666667
"39","Hawai'i",1,0.490599294947121,0.439522258414767,0.846082949308756,0.551051051051051,0.615384615384615,0.56015037593985,0.528189910979229
"40","Houston",1,0.748776088636949,0.555291790306627,0.854681978798587,0.65884476534296,0.480769230769231,0.670103092783505,0.655172413793103
"41","Illinois",0.481612760301285,0.872659176029963,0.253911806543385,0.894848871860366,0.57504215851602,0.526315789473684,0.36875,0.545150501672241
"42","Indiana",0.708548109965636,0.283837579617834,0.432235294117647,0.355796687607082,0.174629324546952,0.219512195121951,0.289473684210526,0.205128205128205
"43","Iowa",1,0.881510934393638,0.67395498392283,0.317790167257983,0.686656671664168,0.571428571428571,0.79047619047619,0.721485411140584
"44","Iowa State",0.0703079604880883,0.408773968622894,0.357014388489209,0.162272727272727,0.478571428571429,0.6,0.221649484536082,0.391025641025641
"45","Kansas",0.952209197475203,0.712967032967033,0.361789663152481,0.973132131026868,0.686544342507645,0.8,0.489473684210526,0.693877551020408
"46","Kansas State",0.613003663003663,0.702193151212005,0.398191214470284,0.952589105581708,0.518461538461538,0.371428571428571,0.685082872928177,0.53133514986376
"47","Kent State",0.0545826036193812,0.557793345008757,0.105984138428262,0.489938288167427,0.26281208935611,0.0833333333333333,0.517241379310345,0.32033426183844
"48","Kentucky",1,0.359766277128548,0.57714165438855,0.956274440099538,0.681494661921708,0.628571428571429,0.649425287356322,0.667752442996743
"49","Liberty",0.236253617469087,0.643050949653301,0.556696619597775,0.393103448275862,0.499194847020934,0.571428571428571,0.689497716894977,0.527065527065527
"50","Louisiana",0.0467167592290101,0.892006525285481,0.406593406593407,0.822491349480969,0.364217252396166,0.702127659574468,0.263157894736842,0.282191780821918
"51","Louisiana Monroe",1,0.813818783616053,0.656814079422383,0.990643918547056,0.386363636363636,0.444444444444444,0.470899470899471,0.348534201954397
"52","Louisiana Tech",1,0.760025461489497,0.650538770335939,0.483832335329341,0.628712871287129,0.571428571428571,0.888888888888889,0.658227848101266
