ANTEam,TEAM,Conference,TAN Rating,SP+ Rating,Opponent,OpponentAN,TAN Rating,SP+ Rating,Home/Away,HFA,TAN Spread,conference,SP+ Spread,TAN WIN%,SP+ WIN%
Air Force,Air Force,Mountain West,77.00,2.30,Northern Iowa,Northern Iowa,64.00,-6.50,H,2.9,-15.9,,-11.3,0.89,0.81
Air Force,Air Force,Mountain West,77.00,2.30,Colorado,Colorado,69.50,-8.10,H,2.9,-10.4,,-12.9,0.79,0.83
Air Force,Air Force,Mountain West,77.00,2.30,Navy,Navy,65.00,-12.20,H,2.9,-14.9,,-17,0.88,0.91
Air Force,Air Force,Mountain West,77.00,2.30,Army,Army,68.70,-1.90,N,2.9,-11.2,,-6.7,0.8,0.68
Air Force,Air Force,Mountain West,77.00,2.30,Boise State,Boise State,81.40,8.30,H,2.9,1.5,c,3.5,0.48,0.39
Air Force,Air Force,Mountain West,77.00,2.30,Colorado State,Colorado State,66.10,-5.10,H,2.9,-13.8,c,-9.9,0.85,0.77
Air Force,Air Force,Mountain West,77.00,2.30,Nevada,Nevada,61.00,-14.10,H,2.9,-18.9,c,-18.9,0.97,0.97
Air Force,Air Force,Mountain West,77.00,2.30,New Mexico,New Mexico,43.50,-19.20,H,2.9,-36.4,c,-24,1,1
Air Force,Air Force,Mountain West,77.00,2.30,San Diego State,San Diego State,73.30,1.50,A,-2.3,-1.4,c,1.7,0.52,0.48
Air Force,Air Force,Mountain West,77.00,2.30,UNLV,UNLV,57.80,-11.20,A,-2.1,-17.1,c,-11,0.91,0.8
Air Force,Air Force,Mountain West,77.00,2.30,Utah State,Utah State,63.50,-6.30,A,-3.1,-10.4,c,-6.1,0.79,0.67
Air Force,Air Force,Mountain West,77.00,2.30,Wyoming,Wyoming,61.40,-9.90,A,-2.4,-13.2,c,-9.7,0.83,0.76
Akron,Akron,Mid-American,55.90,-20.20,Saint Francis PA,Saint Francis PA,35.50,-35.00,H,0.4,-20.8,,-17.3,1,0.94
Akron,Akron,Mid-American,55.90,-20.20,Michigan State,Michigan State,89.30,15.10,A,-1.3,34.7,,37.8,0,0
Akron,Akron,Mid-American,55.90,-20.20,Tennessee,Tennessee,85.40,18.50,A,-1.3,30.8,,41.2,0,0
Akron,Akron,Mid-American,55.90,-20.20,Liberty,Liberty,74.30,1.60,A,-4.3,22.7,,24.3,0,0
Akron,Akron,Mid-American,55.90,-20.20,Bowling Green,Bowling Green,59.50,-8.10,H,0.4,3.2,c,9.6,0.43,0.23
Akron,Akron,Mid-American,55.90,-20.20,Ohio,Ohio,56.20,-9.90,A,-2.3,2.6,c,12.8,0.46,0.17
Akron,Akron,Mid-American,55.90,-20.20,Central Michigan,Central Michigan,67.40,-7.30,H,0.4,11.1,c,10.4,0.2,0.21
Akron,Akron,Mid-American,55.90,-20.20,Kent State,Kent State,58.70,-9.30,A,-2.8,5.6,c,13.4,0.35,0.16
Akron,Akron,Mid-American,55.90,-20.20,Miami Ohio,Miami (OH),67.90,-4.10,H,0.4,11.6,c,13.6,0.19,0.16
Akron,Akron,Mid-American,55.90,-20.20,Eastern Michigan,Eastern Michigan,67.30,-11.60,H,0.4,11,c,6.1,0.2,0.34
