"","School","PassingTARP","ReceivingTARP","OLTARP","RushingTARP","TacklesTARP","PassDefenseTARP","PressureTARP","StopsTARP"
"1","Air Force",0.953301127214171,0.466183574879227,0.611779091094355,0.940180848597264,0.58592132505176,0.576923076923077,0.441048034934498,0.560810810810811
"2","Akron",0.34397845325125,0.478645632935745,1,0.835449735449735,0.980769230769231,0.941176470588235,0.990384615384615,1
"3","Alabama",0.968385694526773,0.53685042481723,0.775082882568487,0.751277013752456,0.790297339593114,0.666666666666667,0.794223826714801,0.792105263157895
"4","Appalachian State",1,0.148753224419604,0.807905138339921,1,0.371941272430669,0.285714285714286,0.484496124031008,0.407821229050279
"5","Arizona",1,0.96316758747698,0.518348623853211,1,0.564485981308411,0.952380952380952,0.475862068965517,0.475862068965517
"6","Arizona State",1,0.391028185788011,0.614466459775603,0.840747663551402,0.269814502529511,0.133333333333333,0.505747126436782,0.297297297297297
"7","Arkansas",1,0.639480332010105,0.701829924650161,0.716861752609934,0.65818759936407,1,0.550561797752809,0.598265895953757
"8","Arkansas State",0.355720732678524,0.547385187151579,0.338684847151968,0.383738601823708,0.483928571428571,0.633333333333333,0.467532467532468,0.473118279569892
"9","Army",0.174267100977199,0.580618892508143,0.47816248019914,0.502019929975761,0.532520325203252,0.740740740740741,0.603092783505155,0.525925925925926
"10","Auburn",0.965384615384615,0.57948717948718,0.745430809399478,0.867595818815331,0.589506172839506,0.586206896551724,0.647773279352227,0.579545454545455
"11","Ball State",0.0585836114200964,0.641614216956683,0.610347085789129,0.69394261424017,0.471196454948301,0.375,0.445859872611465,0.442006269592476
"12","Baylor",0.208683473389356,0.382352941176471,0.807276507276507,0.130803011292346,0.553125,0.459459459459459,0.776223776223776,0.622691292875989
"13","Boise State",0.987171263630532,0.374599101988454,0.598317094774136,0.660322952710496,0.629893238434164,0.846153846153846,0.468085106382979,0.583832335329341
"14","Boston College",0.451511050969779,0.682453766350925,0.425330341560708,0.842850616719963,0.676524953789279,0.72,0.744827586206897,0.701754385964912
"15","Bowling Green",1,1,0.820921544209215,0.994715984147952,1,1,0.99438202247191,1
"16","Buffalo",0.32112567463377,0.441017733230532,0.365812683746325,0.353158326497129,0.484346224677716,0.444444444444444,0.614130434782609,0.530546623794212
"17","BYU",0.765065502183406,0.730713245997089,0.911160714285714,0.569422776911076,0.938291139240506,0.666666666666667,0.88125,0.960526315789474
"18","California",0.326814591951862,0.246709289206469,0.693251533742331,0.358024691358025,0.592792792792793,0.666666666666667,0.448648648648649,0.582456140350877
"19","Central Michigan",0.776558891454965,0.522228637413395,0.6695599515543,0.863690713431646,0.466777408637874,0.605263157894737,0.467213114754098,0.460869565217391
"20","Charlotte",1,0.822564775336176,0.393237610004632,0.678443420378904,0.510128913443831,0.571428571428571,0.605263157894737,0.444015444015444
"21","Cincinnati",0.938817938817939,0.831600831600832,0.912117780294451,0.501525553012967,0.558238636363636,0.3,0.453020134228188,0.532019704433498
"22","Clemson",1,0.716988727858293,0.894432548179872,0.933391003460208,0.618150684931507,0.580645161290323,0.78,0.650568181818182
"23","Coastal Carolina",1,0.298693759071118,0.423318594368164,0.615532118887824,0.346938775510204,0.695652173913043,0.401041666666667,0.338461538461538
"24","Colorado",1,0.584761904761905,0.764705882352941,0.539481268011527,0.427835051546392,0.368421052631579,0.432432432432432,0.487544483985765
