"","Player","Caesars","DraftKings","FanDuel","BetMGM"
"1","CJ Stroud","NA",250,200,200
"2","Bryce Young","NA",350,400,350
"3","Caleb Williams","NA",900,800,800
"4","Bijan Robinson","NA",2000,5000,1600
"5","Will Anderson Jr.","NA",2800,4000,3000
"6","Dillon Gabriel","NA",3000,4000,3000
"7","Jaxon Smith-Njigba","NA",3000,6000,3000
"8","Tyler Van Dyke","NA",3500,3000,2500
"9","DJ Uiagalelei","NA",3500,3000,2000
"10","Kedon Slovis","NA",4000,10000,2500
"11","TreVeyon Henderson","NA",4000,8000,2000
"12","Spencer Rattler","NA",4000,8000,3000
"13","Jaxson Dart","NA",4000,4000,2500
"14","Anthony Richardson","NA",4000,6000,2000
"15","Quinn Ewers","NA",4500,4000,2000
"16","Hendon Hooker","NA",4500,6000,5000
"17","Malik Cunningham","NA",5000,10000,6600
"18","Bo Nix","NA",5000,10000,5000
"19","Sam Hartman","NA",5000,8000,3000
"20","Cade Klubnik","NA",6000,15000,NA
"21","Will Rogers","NA",6000,8000,8000
"22","KJ Jefferson","NA",6000,8000,6600
"23","Jack Miller III","NA",6000,NA,10000
"24","Will Levis","NA",6000,10000,6600
"25","Braelon Allen","NA",6000,6000,3000
"26","Jahmyr Gibbs","NA",6000,5000,3000
"27","Jayden Daniels","NA",7000,8000,6600
"28","Tank Bigsby","NA",7000,10000,6600
"29","JT Daniels","NA",7000,10000,2500
"30","Jordan Addison","NA",7000,8000,NA
"31","Dorian Thompson-Robinson","NA",8000,10000,NA
"32","Jase McClellan","NA",8000,15000,10000
"33","Sean Clifford","NA",8000,10000,8000
"34","Travis Dye","NA",8000,10000,5000
"35","Spencer Sanders","NA",8000,8000,12500
"36","Phil Jurkovec","NA",8000,12000,8000
"37","Max Johnson","NA",8000,8000,5000
"38","Kendall Milton","NA",10000,10000,NA
"39","Aidan O'Connell","NA",10000,10000,5000
"40","Casey Thompson","NA",10000,10000,8000
"41","Cameron Ward","NA",10000,15000,5000
"42","Taulia Tagovailoa","NA",10000,20000,NA
"43","Tyler Shough","NA",10000,NA,15000
"44","Blake Corum","NA",10000,10000,8000
"45","Conner Weigman","NA",10000,20000,NA
"46","JJ McCarthy","NA",10000,10000,5000
"47","Jake Haener","NA",10000,10000,12500
"48","Drew Pyne","NA",10000,NA,15000
"49","Luke Altmyer","NA",10000,20000,NA
"50","Chris Rodriguez Jr.","NA",10000,NA,15000
"51","Tyler Buchner","NA",10000,10000,10000
"52","Haynes King","NA",10000,10000,NA
"53","Grayson McCall","NA",10000,10000,8000
"54","Cameron Rising","NA",10000,8000,6600
"55","Will Shipley","NA",10000,15000,6600
"56","Mohamed Ibrahim","NA",10000,15000,8000
"57","Brennan Armstrong","NA",10000,10000,NA
